task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	22/55e461	160876	FASTQC (1)	COMPLETED	0	2025-09-30 12:22:09.396	14.3s	6.8s	130.0%	228.5 MB	3.3 GB	14.5 MB	3.9 MB
10	5e/0e3df3	160880	FASTQC (4)	COMPLETED	0	2025-09-30 12:22:11.259	12.5s	6.8s	134.3%	235.5 MB	3.3 GB	14 MB	3.8 MB
6	01/e18de5	160878	FASTQC (3)	COMPLETED	0	2025-09-30 12:22:10.212	13.5s	8.9s	127.7%	234.6 MB	3.3 GB	15.2 MB	4 MB
11	0d/ab3de6	160874	FASTQC (5)	COMPLETED	0	2025-09-30 12:22:08.319	15.4s	12.4s	117.6%	221.9 MB	3.3 GB	15.9 MB	3.9 MB
12	4b/c701e0	160877	FASTQC (6)	COMPLETED	0	2025-09-30 12:22:09.921	13.8s	6.7s	139.3%	227.9 MB	3.3 GB	15.4 MB	3.9 MB
4	1c/eff1cb	160871	TRIM_GALORE (2)	COMPLETED	0	2025-09-30 12:22:06.182	17.5s	14.5s	113.9%	192.8 MB	3.4 GB	84.8 MB	52.5 MB
3	b0/ca5a32	160875	FASTQC (2)	COMPLETED	0	2025-09-30 12:22:08.690	15s	11.1s	82.9%	249.3 MB	3.4 GB	13.4 MB	3.9 MB
9	bd/36882b	160870	TRIM_GALORE (6)	COMPLETED	0	2025-09-30 12:22:05.423	23.3s	19.1s	128.9%	217 MB	3.4 GB	144.6 MB	109.3 MB
7	72/65fd5d	160879	TRIM_GALORE (4)	COMPLETED	0	2025-09-30 12:22:10.528	18.2s	12.4s	145.9%	225.5 MB	3.4 GB	111.7 MB	78.6 MB
8	56/909a60	160872	TRIM_GALORE (5)	COMPLETED	0	2025-09-30 12:22:07.165	26.5s	21.5s	140.3%	237.2 MB	3.4 GB	145.9 MB	110.1 MB
1	2e/af2f79	160873	TRIM_GALORE (1)	COMPLETED	0	2025-09-30 12:22:07.789	25.9s	19.7s	134.8%	222.1 MB	3.4 GB	110.5 MB	76.6 MB
13	3b/490757	160882	HISAT2_ALIGN (1)	COMPLETED	0	2025-09-30 12:22:24.370	14.3s	4.8s	70.0%	102.5 MB	527.7 MB	178.5 MB	123.7 MB
5	d4/e92b2f	160881	TRIM_GALORE (3)	COMPLETED	0	2025-09-30 12:22:11.519	27.2s	13.9s	146.0%	245.8 MB	3.4 GB	138 MB	103.3 MB
15	65/d21fea	160884	HISAT2_ALIGN (3)	COMPLETED	0	2025-09-30 12:22:29.862	13.9s	6s	103.7%	108.8 MB	527.6 MB	190.7 MB	133.1 MB
14	7f/ece994	160883	HISAT2_ALIGN (2)	COMPLETED	0	2025-09-30 12:22:29.242	14.5s	6.6s	140.5%	135.4 MB	527.6 MB	208.3 MB	148.1 MB
16	6e/ce4f81	160885	HISAT2_ALIGN (4)	COMPLETED	0	2025-09-30 12:22:34.231	14.5s	6.6s	122.9%	110.5 MB	527.7 MB	204.8 MB	145 MB
17	53/2833fe	160886	HISAT2_ALIGN (5)	COMPLETED	0	2025-09-30 12:22:34.742	14s	4.8s	110.4%	103.1 MB	527.6 MB	187.9 MB	131.2 MB
18	1a/2568b9	160887	HISAT2_ALIGN (6)	COMPLETED	0	2025-09-30 12:22:39.159	9.6s	5.4s	117.0%	111.8 MB	655.7 MB	200.8 MB	141.2 MB
19	20/51260a	160888	MULTIQC	COMPLETED	0	2025-09-30 12:22:49.370	19.3s	11.8s	35.4%	114.3 MB	224.8 MB	66.4 MB	20.9 MB
