task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	b1/f8e674	167326	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (encsr000cor1)	COMPLETED	0	2025-10-16 08:01:06.428	6.3s	1s	44.9%	6.2 MB	10.3 MB	5.6 MB	1.9 KB
8	78/a86555	167329	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (encsr000cpo2)	COMPLETED	0	2025-10-16 08:01:06.814	5.9s	0ms	40.4%	6.2 MB	10.3 MB	6 MB	1.9 KB
3	e9/2d3791	167325	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (encsr000coq1)	COMPLETED	0	2025-10-16 08:01:06.087	6.6s	1s	36.2%	3.1 MB	4.3 MB	4.8 MB	1.9 KB
7	53/f5ef4a	167331	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (encsr000cpo1)	COMPLETED	0	2025-10-16 08:01:07.133	5.6s	0ms	42.9%	6.2 MB	10.3 MB	6.5 MB	1.9 KB
6	05/a4f944	167330	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (encsr000cor2)	COMPLETED	0	2025-10-16 08:01:06.986	5.8s	0ms	38.5%	6.3 MB	10.3 MB	4 MB	1.9 KB
4	35/cca8a9	167327	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (encsr000coq2)	COMPLETED	0	2025-10-16 08:01:06.583	6.2s	0ms	36.5%	6.2 MB	10.3 MB	3.4 MB	1.9 KB
10	7c/761619	167334	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (encsr000cor1)	COMPLETED	0	2025-10-16 08:01:13.205	9.5s	6s	107.1%	252.7 MB	40.3 GB	16 MB	3.5 MB
9	88/5b6f31	167336	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (encsr000cpo2)	COMPLETED	0	2025-10-16 08:01:13.499	9.2s	7s	127.3%	347.6 MB	40.3 GB	16 MB	3.4 MB
19	61/b048cb	167335	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (encsr000cor2)	COMPLETED	0	2025-10-16 08:01:13.367	9.4s	6s	141.4%	226.2 MB	40.3 GB	14.7 MB	3.4 MB
14	af/923d5b	167338	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (encsr000coq1)	COMPLETED	0	2025-10-16 08:01:13.752	9s	6s	132.2%	220.7 MB	40.3 GB	15.3 MB	3.4 MB
