task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	5f/ea4b9f	5779173	NFCORE_RNASEQ:PREPARE_GENOME:GUNZIP_GTF (gencode.v49.primary_assembly.annotation.gtf.gz)	COMPLETED	0	2026-03-19 22:35:06.833	1m 27s	15.5s	85.4%	4.9 MB	8.1 MB	89.3 MB	3.1 GB
1	61/ad61dc	5779175	NFCORE_RNASEQ:PREPARE_GENOME:GUNZIP_FASTA (GRCh38.primary_assembly.genome.fa.gz)	COMPLETED	0	2026-03-19 22:35:06.870	1m 42s	29s	78.2%	4.9 MB	8.1 MB	806.6 MB	2.9 GB
4	c0/056038	5779179	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866818)	COMPLETED	0	2026-03-19 22:35:06.958	2m 12s	1m 8s	92.8%	76.5 MB	80 MB	2.3 GB	3.3 KB
8	1c/735787	5779176	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866822)	COMPLETED	0	2026-03-19 22:35:06.888	2m 12s	1m 5s	94.6%	76.6 MB	80 MB	2.6 GB	3.3 KB
3	61/273295	5779182	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866817)	COMPLETED	0	2026-03-19 22:35:07.037	2m 17s	1m 12s	99.7%	76.5 MB	80.2 MB	3.1 GB	3.3 KB
6	25/92ad33	5779172	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866820)	COMPLETED	0	2026-03-19 22:35:06.810	2m 22s	1m 19s	95.4%	76.5 MB	80.2 MB	3.2 GB	3.3 KB
7	0e/9714e8	5779181	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866821)	COMPLETED	0	2026-03-19 22:35:06.992	2m 22s	1m 18s	90.9%	76.5 MB	80 MB	3 GB	3.3 KB
13	af/cccfdc	5779183	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866827)	COMPLETED	0	2026-03-19 22:35:07.068	2m 27s	1m 20s	90.7%	76.6 MB	80.2 MB	3.1 GB	3.3 KB
11	17/2f9db5	5779177	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866825)	COMPLETED	0	2026-03-19 22:35:06.905	2m 32s	1m 27s	93.5%	76.7 MB	80 MB	3 GB	3.3 KB
15	5d/224f0d	5779186	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866829)	COMPLETED	0	2026-03-19 22:35:07.122	2m 32s	1m 25s	95.0%	218.7 MB	222.1 MB	3.4 GB	3.3 KB
