task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	3a/c57a39	184344	NFCORE_RNASEQ:PREPARE_GENOME:GUNZIP_GTF (Homo_sapiens.GRCh38.115.gtf.gz)	COMPLETED	0	2025-11-16 12:41:51.444	21s	14.9s	97.1%	4.9 MB	8.1 MB	99.7 MB	3.1 GB
2	3a/09cd7d	184343	NFCORE_RNASEQ:PREPARE_GENOME:GUNZIP_FASTA (Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz)	COMPLETED	0	2025-11-16 12:41:51.354	41.1s	32.1s	90.2%	5 MB	8.1 MB	841.2 MB	2.9 GB
6	cd/a74c4b	184347	NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (Homo_sapiens.GRCh38.dna.primary_assembly.fa)	COMPLETED	0	2025-11-16 12:42:32.653	19.8s	14s	78.4%	4.9 MB	10.5 MB	2.9 GB	14.2 KB
5	23/60b90d	184348	NFCORE_RNASEQ:PREPARE_GENOME:GTF_FILTER (Homo_sapiens.GRCh38.dna.primary_assembly.fa)	COMPLETED	0	2025-11-16 12:42:32.788	1m 5s	1m	84.9%	19.4 MB	24.1 MB	6 GB	3.1 GB
8	0e/0b33bd	184350	NFCORE_RNASEQ:PREPARE_GENOME:GTF2BED (Homo_sapiens.GRCh38.115.filtered.gtf)	COMPLETED	0	2025-11-16 12:43:37.728	2m 10s	2m 3s	91.9%	7.9 GB	7.9 GB	3.1 GB	63.2 MB
7	65/9d6a31	184349	NFCORE_RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/Homo_sapiens.GRCh38.dna.primary_assembly.fa)	COMPLETED	0	2025-11-16 12:43:37.628	2m 45s	2m 27s	85.3%	2.9 GB	3.1 GB	6.8 GB	3.8 GB
4	69/5ac953	184346	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866854)	COMPLETED	0	2025-11-16 12:41:51.933	4m 51s	4m 46s	90.5%	218.8 MB	222.2 MB	7.4 GB	1.9 KB
3	b2/42770a	184345	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866835)	COMPLETED	0	2025-11-16 12:41:51.668	7m 6s	7m 3s	94.8%	219.6 MB	223.3 MB	9.1 GB	1.9 KB
10	16/3aca2f	184353	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866854)	COMPLETED	0	2025-11-16 12:46:42.661	9m 20s	9m 17s	148.5%	4.1 GB	40.3 GB	5 GB	4.1 MB
11	b0/d2494b	184355	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866835)	COMPLETED	0	2025-11-16 12:48:57.625	11m 50s	11m 43s	144.8%	4.6 GB	40.3 GB	6.1 GB	4.4 MB
