task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	0a/33b2b9	183751	NFCORE_RNASEQ:PREPARE_GENOME:GUNZIP_GTF (Homo_sapiens.GRCh38.115.gtf.gz)	COMPLETED	0	2025-11-15 18:59:56.148	23.1s	15.8s	89.9%	5 MB	8.1 MB	99.7 MB	3.1 GB
1	1e/34c218	183745	NFCORE_RNASEQ:PREPARE_GENOME:GUNZIP_FASTA (Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz)	COMPLETED	0	2025-11-15 18:59:54.027	40.2s	33.7s	87.5%	5 MB	8.1 MB	841.2 MB	2.9 GB
46	e8/61cd21	183789	NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (Homo_sapiens.GRCh38.dna.primary_assembly.fa)	COMPLETED	0	2025-11-15 19:00:34.769	19.5s	13s	79.4%	4.8 MB	10.5 MB	2.9 GB	14.2 KB
28	ba/09f824	183771	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866842)	COMPLETED	0	2025-11-15 19:00:02.892	1m 36s	1m 32s	77.0%	76.8 MB	80 MB	2.8 GB	1.9 KB
22	5f/bc845d	183769	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866836)	COMPLETED	0	2025-11-15 19:00:02.129	1m 47s	1m 44s	72.2%	76.7 MB	80 MB	2.9 GB	1.9 KB
25	e9/0b9c22	183768	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866839)	COMPLETED	0	2025-11-15 19:00:01.565	1m 48s	1m 44s	77.3%	76.7 MB	80.2 MB	3.1 GB	1.9 KB
31	54/6fd9aa	183774	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866845)	COMPLETED	0	2025-11-15 19:00:04.023	1m 45s	1m 44s	73.5%	76.4 MB	80 MB	2.9 GB	1.9 KB
42	73/3a435b	183787	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866856)	COMPLETED	0	2025-11-15 19:00:09.594	1m 40s	1m 35s	77.8%	76.7 MB	80 MB	2.9 GB	1.9 KB
36	c4/fa37f9	183781	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866850)	COMPLETED	0	2025-11-15 19:00:07.180	1m 47s	1m 41s	75.3%	76.6 MB	80.2 MB	2.9 GB	1.9 KB
45	f9/42f64b	183790	NFCORE_RNASEQ:PREPARE_GENOME:GTF_FILTER (Homo_sapiens.GRCh38.dna.primary_assembly.fa)	COMPLETED	0	2025-11-15 19:00:35.105	1m 19s	1m 9s	72.6%	19.5 MB	24.1 MB	6 GB	3.1 GB
38	41/f9fa6a	183782	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866852)	COMPLETED	0	2025-11-15 19:00:07.583	1m 52s	1m 47s	75.1%	76.5 MB	80.2 MB	3 GB	1.9 KB
33	a8/fc1996	183777	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866847)	COMPLETED	0	2025-11-15 19:00:05.532	1m 54s	1m 51s	75.1%	76.5 MB	80.2 MB	3.1 GB	1.9 KB
43	2c/e8c49e	183786	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866857)	COMPLETED	0	2025-11-15 19:00:09.189	1m 55s	1m 49s	80.1%	218.7 MB	222.1 MB	3.4 GB	1.9 KB
39	b4/cf7bdd	183785	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866853)	COMPLETED	0	2025-11-15 19:00:08.784	2m	1m 57s	74.3%	218.5 MB	222.1 MB	3.3 GB	1.9 KB
44	29/8b2ae5	183788	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866858)	COMPLETED	0	2025-11-15 19:00:10.008	1m 59s	1m 54s	76.4%	218.8 MB	222.1 MB	3.4 GB	1.9 KB
30	ed/f024fe	183775	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866844)	COMPLETED	0	2025-11-15 19:00:04.420	2m 5s	1m 58s	81.2%	218.7 MB	222.1 MB	3.6 GB	1.9 KB
4	9c/b42b01	183748	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866818)	COMPLETED	0	2025-11-15 18:59:55.310	2m 19s	2m 16s	69.9%	76.4 MB	80 MB	2.3 GB	1.9 KB
18	37/41978f	183767	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866832)	COMPLETED	0	2025-11-15 19:00:01.309	2m 13s	2m 5s	70.8%	218.5 MB	222.1 MB	3.4 GB	1.9 KB
26	13/351d6f	183770	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866840)	COMPLETED	0	2025-11-15 19:00:02.432	2m 12s	2m 7s	71.0%	218.6 MB	222.1 MB	3.4 GB	1.9 KB
27	71/59bf79	183773	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866841)	COMPLETED	0	2025-11-15 19:00:03.513	2m 11s	2m 5s	71.7%	218.7 MB	222.1 MB	3.3 GB	1.9 KB
41	41/5c6bcb	183784	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866855)	COMPLETED	0	2025-11-15 19:00:08.466	2m 6s	2m 1s	77.2%	218.8 MB	222.1 MB	3.5 GB	1.9 KB
11	42/853163	183755	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866825)	COMPLETED	0	2025-11-15 18:59:57.479	2m 22s	2m 13s	74.7%	76.5 MB	80.2 MB	3 GB	1.9 KB
20	6b/c39484	183766	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866834)	COMPLETED	0	2025-11-15 19:00:00.938	2m 18s	2m 15s	74.7%	218.8 MB	222.3 MB	3.8 GB	1.9 KB
34	ac/9bfdb5	183779	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866848)	COMPLETED	0	2025-11-15 19:00:06.369	2m 13s	2m 8s	77.7%	218.7 MB	222.1 MB	3.7 GB	1.9 KB
8	fb/f557df	183749	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866822)	COMPLETED	0	2025-11-15 18:59:55.615	2m 29s	2m 25s	73.1%	76.4 MB	80 MB	2.6 GB	1.9 KB
13	41/9900b1	183757	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866827)	COMPLETED	0	2025-11-15 18:59:58.168	2m 26s	2m 21s	72.8%	76.6 MB	80.2 MB	3.1 GB	1.9 KB
19	e2/4d1166	183765	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866833)	COMPLETED	0	2025-11-15 19:00:00.636	2m 24s	2m 18s	73.8%	218.7 MB	222.1 MB	3.9 GB	1.9 KB
32	cc/2a4b83	183776	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866846)	COMPLETED	0	2025-11-15 19:00:05.061	2m 19s	2m 12s	74.6%	218.6 MB	222.1 MB	3.6 GB	1.9 KB
37	05/4e7cf4	183780	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866851)	COMPLETED	0	2025-11-15 19:00:06.696	2m 18s	2m 12s	76.3%	218.8 MB	222.1 MB	3.8 GB	1.9 KB
23	61/aec287	183762	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866837)	COMPLETED	0	2025-11-15 18:59:59.675	2m 25s	2m 23s	72.3%	76.8 MB	80.2 MB	3.1 GB	1.9 KB
6	cf/4cacdb	183753	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866820)	COMPLETED	0	2025-11-15 18:59:56.927	2m 37s	2m 32s	71.0%	76.5 MB	80.2 MB	3.2 GB	1.9 KB
12	bd/57acc1	183756	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866826)	COMPLETED	0	2025-11-15 18:59:57.752	2m 36s	2m 31s	73.0%	218.9 MB	222.1 MB	3.2 GB	1.9 KB
35	22/849c6e	183778	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866849)	COMPLETED	0	2025-11-15 19:00:06.034	2m 28s	2m 24s	75.9%	218.7 MB	222.3 MB	4 GB	1.9 KB
5	83/e88825	183750	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866819)	COMPLETED	0	2025-11-15 18:59:55.949	2m 43s	2m 41s	75.7%	76.4 MB	80 MB	2.9 GB	1.9 KB
15	35/05a269	183759	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866829)	COMPLETED	0	2025-11-15 18:59:58.821	2m 40s	2m 33s	75.1%	218.5 MB	222.1 MB	3.4 GB	1.9 KB
29	b2/224893	183772	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866843)	COMPLETED	0	2025-11-15 19:00:03.131	2m 36s	2m 32s	77.1%	219.1 MB	222.4 MB	4.3 GB	1.9 KB
10	0d/3da155	183754	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866824)	COMPLETED	0	2025-11-15 18:59:57.179	2m 47s	2m 41s	75.1%	218.7 MB	222.1 MB	3.5 GB	1.9 KB
7	ba/7535b2	183752	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866821)	COMPLETED	0	2025-11-15 18:59:56.609	2m 48s	2m 45s	73.8%	76.3 MB	80 MB	3 GB	1.9 KB
17	19/f0c269	183760	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866831)	COMPLETED	0	2025-11-15 18:59:59.104	2m 45s	2m 39s	77.2%	218.8 MB	222.2 MB	3.7 GB	1.9 KB
3	f2/be1e56	183747	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866817)	COMPLETED	0	2025-11-15 18:59:54.896	2m 49s	2m 45s	76.8%	76.4 MB	80.2 MB	3.1 GB	1.9 KB
16	f1/85a9be	183761	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866830)	COMPLETED	0	2025-11-15 18:59:59.335	2m 55s	2m 50s	76.4%	218.8 MB	222.3 MB	3.9 GB	1.9 KB
14	9d/427986	183758	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866828)	COMPLETED	0	2025-11-15 18:59:58.501	3m 6s	3m 2s	74.8%	218.6 MB	222.3 MB	3.9 GB	1.9 KB
24	33/4a4c22	183764	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866838)	COMPLETED	0	2025-11-15 19:00:00.356	3m 9s	3m 3s	78.0%	219.3 MB	222.4 MB	4.3 GB	1.9 KB
60	bb/6abf80	183804	NFCORE_RNASEQ:PREPARE_GENOME:GTF2BED (Homo_sapiens.GRCh38.115.filtered.gtf)	COMPLETED	0	2025-11-15 19:01:55.927	1m 13s	1m 7s	97.5%	7.9 GB	8 GB	3.1 GB	63.2 MB
9	61/c30f8b	183746	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866823)	COMPLETED	0	2025-11-15 18:59:54.454	3m 20s	3m 12s	77.6%	218.4 MB	222.1 MB	3.6 GB	1.9 KB
51	ef/76fe45	183796	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866836)	COMPLETED	0	2025-11-15 19:01:50.876	1m 43s	1m 40s	197.9%	4.7 GB	40.3 GB	1.9 GB	4.4 MB
40	d4/0c4a8a	183783	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866854)	COMPLETED	0	2025-11-15 19:00:07.998	3m 36s	3m 29s	79.0%	218.6 MB	222.2 MB	7.4 GB	1.9 KB
49	f0/b3838b	183795	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866839)	COMPLETED	0	2025-11-15 19:01:50.391	1m 54s	1m 47s	197.4%	5 GB	40.3 GB	2.1 GB	4.4 MB
59	82/f3f75c	183803	NFCORE_RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/Homo_sapiens.GRCh38.dna.primary_assembly.fa)	COMPLETED	0	2025-11-15 19:01:55.464	1m 59s	1m 42s	94.3%	2.9 GB	3.1 GB	6.8 GB	3.8 GB
62	f7/a89b75	183805	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866847)	COMPLETED	0	2025-11-15 19:01:59.636	1m 55s	1m 48s	202.6%	5.5 GB	40.3 GB	2.1 GB	4.4 MB
55	60/7f12a5	183798	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866856)	COMPLETED	0	2025-11-15 19:01:51.742	2m 13s	2m 10s	203.0%	4.9 GB	40.3 GB	1.9 GB	4.4 MB
73	af/49340c	183817	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866818)	COMPLETED	0	2025-11-15 19:02:14.875	1m 54s	1m 47s	198.4%	4.8 GB	40.3 GB	1.6 GB	4.4 MB
63	72/c46b8d	183808	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866852)	COMPLETED	0	2025-11-15 19:02:00.764	2m 18s	2m 15s	200.4%	5.4 GB	40.3 GB	2 GB	4.4 MB
80	aa/9890a0	183823	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866841)	COMPLETED	0	2025-11-15 19:02:17.746	2m 2s	1m 56s	193.7%	5.7 GB	40.3 GB	2.2 GB	4.4 MB
92	7a/5dbae2	183837	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866827)	COMPLETED	0	2025-11-15 19:02:26.109	1m 53s	1m 43s	195.9%	6.2 GB	40.3 GB	2.1 GB	4.4 MB
47	90/daf546	183791	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866842)	COMPLETED	0	2025-11-15 19:01:39.731	2m 55s	2m 49s	118.4%	5.6 GB	40.3 GB	1.8 GB	4.4 MB
53	ba/af9c2f	183797	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866845)	COMPLETED	0	2025-11-15 19:01:51.240	2m 48s	2m 43s	127.7%	5.7 GB	40.3 GB	1.9 GB	4.4 MB
68	69/8e0264	183814	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866844)	COMPLETED	0	2025-11-15 19:02:11.301	2m 28s	2m 27s	200.9%	5.4 GB	40.3 GB	2.4 GB	4.4 MB
71	a7/c801ef	183815	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866858)	COMPLETED	0	2025-11-15 19:02:11.703	2m 38s	2m 32s	203.1%	5 GB	40.3 GB	2.3 GB	4.4 MB
69	ae/52abc1	183816	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866853)	COMPLETED	0	2025-11-15 19:02:12.119	2m 37s	2m 31s	207.8%	5 GB	40.3 GB	2.2 GB	4.4 MB
89	f9/b49cd0	183834	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866822)	COMPLETED	0	2025-11-15 19:02:25.139	2m 24s	2m 21s	198.1%	4 GB	40.3 GB	1.7 GB	4.4 MB
101	3a/4007eb	183849	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866826)	COMPLETED	0	2025-11-15 19:02:36.196	2m 13s	2m 4s	200.0%	5.7 GB	40.3 GB	2.2 GB	4.4 MB
77	70/070301	183822	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866840)	COMPLETED	0	2025-11-15 19:02:17.192	2m 37s	2m 36s	200.0%	5.9 GB	40.3 GB	2.3 GB	4.4 MB
76	48/b3f90c	183821	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866832)	COMPLETED	0	2025-11-15 19:02:16.704	2m 38s	2m 35s	198.0%	6 GB	40.3 GB	2.3 GB	4.4 MB
93	d2/c8f99e	183835	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866837)	COMPLETED	0	2025-11-15 19:02:25.331	2m 49s	2m 40s	197.7%	5.1 GB	40.3 GB	2.1 GB	4.4 MB
106	5c/0476b4	183850	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866849)	COMPLETED	0	2025-11-15 19:02:36.490	2m 38s	2m 27s	200.0%	6 GB	40.3 GB	2.7 GB	4.4 MB
81	94/5f2943	183826	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866855)	COMPLETED	0	2025-11-15 19:02:18.901	3m 5s	2m 59s	208.0%	5.6 GB	40.3 GB	2.3 GB	4.4 MB
97	48/533c10	183841	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866846)	COMPLETED	0	2025-11-15 19:02:27.378	2m 57s	2m 44s	201.3%	5.6 GB	40.3 GB	2.4 GB	4.4 MB
110	22/d323a3	183853	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866829)	COMPLETED	0	2025-11-15 19:02:40.241	2m 44s	2m 32s	195.3%	6 GB	40.3 GB	2.3 GB	4.4 MB
58	64/021cfa	183801	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866850)	COMPLETED	0	2025-11-15 19:01:54.705	3m 35s	3m 30s	140.0%	5.3 GB	40.3 GB	2 GB	4.4 MB
