task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	fa/031532	191978	NFCORE_RNASEQ:PREPARE_GENOME:GUNZIP_GTF (gencode.v49.primary_assembly.annotation.gtf.gz)	COMPLETED	0	2025-11-29 16:25:00.458	26.8s	16.2s	89.6%	5 MB	8.1 MB	89.3 MB	3.1 GB
1	db/f24085	191984	NFCORE_RNASEQ:PREPARE_GENOME:GUNZIP_FASTA (GRCh38.primary_assembly.genome.fa.gz)	COMPLETED	0	2025-11-29 16:25:02.388	39.9s	30.7s	85.0%	4.9 MB	8.1 MB	806.6 MB	2.9 GB
46	fb/d84467	192017	NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (GRCh38.primary_assembly.genome.fa)	COMPLETED	0	2025-11-29 16:25:43.522	13.8s	11s	69.2%	7 MB	21.4 MB	2.9 GB	14.3 KB
45	2b/39c992	192018	NFCORE_RNASEQ:PREPARE_GENOME:GTF_FILTER (GRCh38.primary_assembly.genome.fa)	COMPLETED	0	2025-11-29 16:25:44.187	53.1s	45s	71.7%	18.1 MB	23 MB	6 GB	3.1 GB
4	65/6ebf1a	191983	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866818)	COMPLETED	0	2025-11-29 16:25:01.994	2m 10s	2m 6s	60.5%	76.5 MB	80 MB	2.3 GB	1.9 KB
8	bc/c19b68	191980	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866822)	COMPLETED	0	2025-11-29 16:25:01.109	2m 16s	2m 11s	64.8%	76.7 MB	80 MB	2.6 GB	1.9 KB
28	30/d8a97b	192000	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866842)	COMPLETED	0	2025-11-29 16:25:07.732	2m 15s	2m 8s	56.5%	76.4 MB	80 MB	2.8 GB	1.9 KB
23	38/18970f	191997	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866837)	COMPLETED	0	2025-11-29 16:25:06.763	2m 21s	2m 16s	60.9%	76.7 MB	80.2 MB	3.1 GB	1.9 KB
31	5e/73d72e	192008	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866845)	COMPLETED	0	2025-11-29 16:25:10.489	2m 17s	2m 14s	56.2%	76.5 MB	80 MB	2.9 GB	1.9 KB
38	4c/841536	192010	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR17866852)	COMPLETED	0	2025-11-29 16:25:11.263	2m 21s	2m 18s	58.2%	76.6 MB	80.2 MB	3 GB	1.9 KB
