task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	29/ea844c	167841	NFCORE_RNASEQ:PREPARE_GENOME:GUNZIP_GTF (Homo_sapiens.GRCh38.115.gtf.gz)	COMPLETED	0	2025-10-17 21:57:25.583	25.4s	17.2s	81.3%	5 MB	8.1 MB	99.7 MB	3.1 GB
1	b7/207a46	167839	NFCORE_RNASEQ:PREPARE_GENOME:GUNZIP_FASTA (Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz)	COMPLETED	0	2025-10-17 21:57:25.120	50.8s	38.3s	81.3%	5 MB	8.1 MB	841.2 MB	2.9 GB
48	39/f2dde7	167882	NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (Homo_sapiens.GRCh38.dna.primary_assembly.fa)	COMPLETED	0	2025-10-17 21:58:16.160	19.8s	14s	83.6%	4.7 MB	10.5 MB	2.9 GB	14.1 KB
47	67/182d5c	167883	NFCORE_RNASEQ:PREPARE_GENOME:GTF_FILTER (Homo_sapiens.GRCh38.dna.primary_assembly.fa)	COMPLETED	0	2025-10-17 21:58:16.992	49s	38s	80.5%	19.3 MB	24.1 MB	6 GB	3.1 GB
15	a2/31042f	167851	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (srr27320667_rectum_control)	COMPLETED	0	2025-10-17 21:57:27.435	2m 9s	2m 6s	53.7%	76.5 MB	80 MB	2.6 GB	1.9 KB
3	5d/06675a	167843	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (srr27320655_rectum_control)	COMPLETED	0	2025-10-17 21:57:26.036	2m 10s	2m 5s	59.2%	76.2 MB	80 MB	2.3 GB	1.9 KB
17	ee/bb3b8e	167850	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (srr27320669_sigmoid_control)	COMPLETED	0	2025-10-17 21:57:27.322	2m 19s	2m 12s	50.9%	76.4 MB	80 MB	2.6 GB	1.9 KB
16	be/0b1fef	167853	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (srr27320668_rectum_stage1)	COMPLETED	0	2025-10-17 21:57:27.890	2m 18s	2m 13s	54.8%	76.6 MB	80 MB	2.7 GB	1.9 KB
18	bb/110690	167852	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (srr27320670_sigmoid_stage4)	COMPLETED	0	2025-10-17 21:57:27.659	2m 23s	2m 22s	51.8%	76.6 MB	80 MB	2.8 GB	1.9 KB
8	ac/ad22fb	167836	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (srr27320660_sigmoid_stage4)	COMPLETED	0	2025-10-17 21:57:24.455	2m 31s	2m 25s	64.6%	76.4 MB	80 MB	2 GB	1.9 KB
