sample,fastq_1,fastq_2,strandedness
SRR17866817,data/reads/SRR17866817_1.fastq.gz,data/reads/SRR17866817_2.fastq.gz,auto
SRR17866818,data/reads/SRR17866818_1.fastq.gz,data/reads/SRR17866818_2.fastq.gz,auto
SRR17866819,data/reads/SRR17866819_1.fastq.gz,data/reads/SRR17866819_2.fastq.gz,auto
SRR17866820,data/reads/SRR17866820_1.fastq.gz,data/reads/SRR17866820_2.fastq.gz,auto
SRR17866821,data/reads/SRR17866821_1.fastq.gz,data/reads/SRR17866821_2.fastq.gz,auto
SRR17866822,data/reads/SRR17866822_1.fastq.gz,data/reads/SRR17866822_2.fastq.gz,auto
SRR17866823,data/reads/SRR17866823_1.fastq.gz,data/reads/SRR17866823_2.fastq.gz,auto
SRR17866824,data/reads/SRR17866824_1.fastq.gz,data/reads/SRR17866824_2.fastq.gz,auto
SRR17866825,data/reads/SRR17866825_1.fastq.gz,data/reads/SRR17866825_2.fastq.gz,auto
SRR17866826,data/reads/SRR17866826_1.fastq.gz,data/reads/SRR17866826_2.fastq.gz,auto
SRR17866827,data/reads/SRR17866827_1.fastq.gz,data/reads/SRR17866827_2.fastq.gz,auto
SRR17866828,data/reads/SRR17866828_1.fastq.gz,data/reads/SRR17866828_2.fastq.gz,auto
SRR17866829,data/reads/SRR17866829_1.fastq.gz,data/reads/SRR17866829_2.fastq.gz,auto
SRR17866830,data/reads/SRR17866830_1.fastq.gz,data/reads/SRR17866830_2.fastq.gz,auto
SRR17866831,data/reads/SRR17866831_1.fastq.gz,data/reads/SRR17866831_2.fastq.gz,auto
SRR17866832,data/reads/SRR17866832_1.fastq.gz,data/reads/SRR17866832_2.fastq.gz,auto
SRR17866833,data/reads/SRR17866833_1.fastq.gz,data/reads/SRR17866833_2.fastq.gz,auto
SRR17866834,data/reads/SRR17866834_1.fastq.gz,data/reads/SRR17866834_2.fastq.gz,auto
SRR17866835,data/reads/SRR17866835_1.fastq.gz,data/reads/SRR17866835_2.fastq.gz,auto
SRR17866836,data/reads/SRR17866836_1.fastq.gz,data/reads/SRR17866836_2.fastq.gz,auto
SRR17866837,data/reads/SRR17866837_1.fastq.gz,data/reads/SRR17866837_2.fastq.gz,auto
SRR17866838,data/reads/SRR17866838_1.fastq.gz,data/reads/SRR17866838_2.fastq.gz,auto
SRR17866839,data/reads/SRR17866839_1.fastq.gz,data/reads/SRR17866839_2.fastq.gz,auto
SRR17866840,data/reads/SRR17866840_1.fastq.gz,data/reads/SRR17866840_2.fastq.gz,auto
SRR17866841,data/reads/SRR17866841_1.fastq.gz,data/reads/SRR17866841_2.fastq.gz,auto
SRR17866842,data/reads/SRR17866842_1.fastq.gz,data/reads/SRR17866842_2.fastq.gz,auto
SRR17866843,data/reads/SRR17866843_1.fastq.gz,data/reads/SRR17866843_2.fastq.gz,auto
SRR17866844,data/reads/SRR17866844_1.fastq.gz,data/reads/SRR17866844_2.fastq.gz,auto
SRR17866845,data/reads/SRR17866845_1.fastq.gz,data/reads/SRR17866845_2.fastq.gz,auto
SRR17866846,data/reads/SRR17866846_1.fastq.gz,data/reads/SRR17866846_2.fastq.gz,auto
SRR17866847,data/reads/SRR17866847_1.fastq.gz,data/reads/SRR17866847_2.fastq.gz,auto
SRR17866848,data/reads/SRR17866848_1.fastq.gz,data/reads/SRR17866848_2.fastq.gz,auto
SRR17866849,data/reads/SRR17866849_1.fastq.gz,data/reads/SRR17866849_2.fastq.gz,auto
SRR17866850,data/reads/SRR17866850_1.fastq.gz,data/reads/SRR17866850_2.fastq.gz,auto
SRR17866851,data/reads/SRR17866851_1.fastq.gz,data/reads/SRR17866851_2.fastq.gz,auto
SRR17866852,data/reads/SRR17866852_1.fastq.gz,data/reads/SRR17866852_2.fastq.gz,auto
SRR17866853,data/reads/SRR17866853_1.fastq.gz,data/reads/SRR17866853_2.fastq.gz,auto
SRR17866854,data/reads/SRR17866854_1.fastq.gz,data/reads/SRR17866854_2.fastq.gz,auto
SRR17866855,data/reads/SRR17866855_1.fastq.gz,data/reads/SRR17866855_2.fastq.gz,auto
SRR17866856,data/reads/SRR17866856_1.fastq.gz,data/reads/SRR17866856_2.fastq.gz,auto
SRR17866857,data/reads/SRR17866857_1.fastq.gz,data/reads/SRR17866857_2.fastq.gz,auto
SRR17866858,data/reads/SRR17866858_1.fastq.gz,data/reads/SRR17866858_2.fastq.gz,auto
