sample,fastq_1,fastq_2,strandedness
srr27320655_rectum_control,data/reads/SRR27320655_1.fastq.gz,data/reads/SRR27320655_2.fastq.gz,auto
srr27320656_rectum_stage1,data/reads/SRR27320656_1.fastq.gz,data/reads/SRR27320656_2.fastq.gz,auto
srr27320657_hepaticflexure_control,data/reads/SRR27320657_1.fastq.gz,data/reads/SRR27320657_2.fastq.gz,auto
srr27320658_hepaticflexure_stage2,data/reads/SRR27320658_1.fastq.gz,data/reads/SRR27320658_2.fastq.gz,auto
srr27320659_sigmoid_control,data/reads/SRR27320659_1.fastq.gz,data/reads/SRR27320659_2.fastq.gz,auto
srr27320660_sigmoid_stage4,data/reads/SRR27320660_1.fastq.gz,data/reads/SRR27320660_2.fastq.gz,auto
srr27320661_cecum_control,data/reads/SRR27320661_1.fastq.gz,data/reads/SRR27320661_2.fastq.gz,auto
srr27320662_cecum_stage1,data/reads/SRR27320662_1.fastq.gz,data/reads/SRR27320662_2.fastq.gz,auto
srr27320663_sigmoid_control,data/reads/SRR27320663_1.fastq.gz,data/reads/SRR27320663_2.fastq.gz,auto
srr27320664_sigmoid_stage2,data/reads/SRR27320664_1.fastq.gz,data/reads/SRR27320664_2.fastq.gz,auto
srr27320665_sigmoid_control,data/reads/SRR27320665_1.fastq.gz,data/reads/SRR27320665_2.fastq.gz,auto
srr27320666_sigmoid_stage2,data/reads/SRR27320666_1.fastq.gz,data/reads/SRR27320666_2.fastq.gz,auto
srr27320667_rectum_control,data/reads/SRR27320667_1.fastq.gz,data/reads/SRR27320667_2.fastq.gz,auto
srr27320668_rectum_stage1,data/reads/SRR27320668_1.fastq.gz,data/reads/SRR27320668_2.fastq.gz,auto
srr27320669_sigmoid_control,data/reads/SRR27320669_1.fastq.gz,data/reads/SRR27320669_2.fastq.gz,auto
srr27320670_sigmoid_stage4,data/reads/SRR27320670_1.fastq.gz,data/reads/SRR27320670_2.fastq.gz,auto
srr27320671_rectum_control,data/reads/SRR27320671_1.fastq.gz,data/reads/SRR27320671_2.fastq.gz,auto
srr27320672_rectum_stage1,data/reads/SRR27320672_1.fastq.gz,data/reads/SRR27320672_2.fastq.gz,auto
srr27320673_rectum_control,data/reads/SRR27320673_1.fastq.gz,data/reads/SRR27320673_2.fastq.gz,auto
srr27320674_rectum_stage1,data/reads/SRR27320674_1.fastq.gz,data/reads/SRR27320674_2.fastq.gz,auto
srr27320675_cecum_control,data/reads/SRR27320675_1.fastq.gz,data/reads/SRR27320675_2.fastq.gz,auto
srr27320676_cecum_stage3,data/reads/SRR27320676_1.fastq.gz,data/reads/SRR27320676_2.fastq.gz,auto
srr27320677_rectosigmoid_control,data/reads/SRR27320677_1.fastq.gz,data/reads/SRR27320677_2.fastq.gz,auto
srr27320678_rectosigmoid_stage3,data/reads/SRR27320678_1.fastq.gz,data/reads/SRR27320678_2.fastq.gz,auto
srr27320679_rectum_control,data/reads/SRR27320679_1.fastq.gz,data/reads/SRR27320679_2.fastq.gz,auto
srr27320680_rectum_stage1,data/reads/SRR27320680_1.fastq.gz,data/reads/SRR27320680_2.fastq.gz,auto
srr27320681_sigmoid_control,data/reads/SRR27320681_1.fastq.gz,data/reads/SRR27320681_2.fastq.gz,auto
srr27320682_sigmoid_stage1,data/reads/SRR27320682_1.fastq.gz,data/reads/SRR27320682_2.fastq.gz,auto
srr27320683_sigmoid_control,data/reads/SRR27320683_1.fastq.gz,data/reads/SRR27320683_2.fastq.gz,auto
srr27320684_sigmoid_stage2,data/reads/SRR27320684_1.fastq.gz,data/reads/SRR27320684_2.fastq.gz,auto
srr27320685_rectum_control,data/reads/SRR27320685_1.fastq.gz,data/reads/SRR27320685_2.fastq.gz,auto
srr27320686_rectum_stage4,data/reads/SRR27320686_1.fastq.gz,data/reads/SRR27320686_2.fastq.gz,auto
srr27320687_rectum_control,data/reads/SRR27320687_1.fastq.gz,data/reads/SRR27320687_2.fastq.gz,auto
srr27320688_rectum_stage2,data/reads/SRR27320688_1.fastq.gz,data/reads/SRR27320688_2.fastq.gz,auto
srr27320689_sigmoid_control,data/reads/SRR27320689_1.fastq.gz,data/reads/SRR27320689_2.fastq.gz,auto
srr27320690_sigmoid_stage1,data/reads/SRR27320690_1.fastq.gz,data/reads/SRR27320690_2.fastq.gz,auto
srr27320691_descendingcolon_control,data/reads/SRR27320691_1.fastq.gz,data/reads/SRR27320691_2.fastq.gz,auto
srr27320692_descendingcolon_stage2,data/reads/SRR27320692_1.fastq.gz,data/reads/SRR27320692_2.fastq.gz,auto
srr27320693_rectum_control,data/reads/SRR27320693_1.fastq.gz,data/reads/SRR27320693_2.fastq.gz,auto
srr27320694_rectum_stage3,data/reads/SRR27320694_1.fastq.gz,data/reads/SRR27320694_2.fastq.gz,auto
srr27320695_cecum_control,data/reads/SRR27320695_1.fastq.gz,data/reads/SRR27320695_2.fastq.gz,auto
srr27320696_cecum_stage3,data/reads/SRR27320696_1.fastq.gz,data/reads/SRR27320696_2.fastq.gz,auto
srr27320697_sigmoid_control,data/reads/SRR27320697_1.fastq.gz,data/reads/SRR27320697_2.fastq.gz,auto
srr27320698_sigmoid_stage2,data/reads/SRR27320698_1.fastq.gz,data/reads/SRR27320698_2.fastq.gz,auto
