Sample	Reads passing filters
SRR17866817_1	27939715.0
SRR17866817_2	27939715.0
SRR17866818_1	20987775.0
SRR17866818_2	20987775.0
SRR17866819_1	26852674.0
SRR17866819_2	26852674.0
SRR17866820_1	29231590.0
SRR17866820_2	29231590.0
SRR17866821_1	26375475.0
SRR17866821_2	26375475.0
SRR17866822_1	23302304.0
SRR17866822_2	23302304.0
SRR27320655_1	19682654.0
SRR27320655_2	19682654.0
SRR27320656_1	29033307.0
SRR27320656_2	29033307.0
SRR27320657_1	40481828.0
SRR27320657_2	40481828.0
SRR27320658_1	26113419.0
SRR27320658_2	26113419.0
SRR27320659_1	25243110.0
SRR27320659_2	25243110.0
SRR27320660_1	19401821.0
SRR27320660_2	19401821.0
