	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR17866817_1 - Adapter 1	9268043	2327245	806802	180903	44018	12923	4859	1500	869	729	620	129	354	91	326	137	179	182	193	116	143	158	144	88	145	153	149	92	123	136	134	100	64	109	69	131	151	124	129	102	105	112	124	160	139	161	117	146	127	119	199	156	342	403	439	5208	1161
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR17866817_2 - Adapter 1	10244447	2486641	893841	157345	43846	12380	4754	1716	852	807	576	552	353	1055	1290	139	226	1472	172	362	1112	747	234	1061	929	102	185	1049	113	956	481	2146	879	458	82	1144	596	1575	179	1196	75	516	772	90	609	331	1929	101	1173	328	1388	254	252	1662	1184	6817	1203
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR17866818_1 - Adapter 1	6822530	1717725	597274	134893	36803	10040	3894	1323	909	505	623	79	417	109	424	127	166	186	144	96	85	113	88	46	96	131	81	46	85	74	99	79	66	53	59	80	81	72	86	35	76	70	124	113	71	157	82	97	88	85	112	83	279	213	211	2019	5416
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR17866818_2 - Adapter 1	7855373	1924312	675430	117198	34890	8480	3688	1654	871	532	638	505	433	975	1367	105	222	1418	155	333	1110	672	203	991	773	123	161	1153	102	891	483	2216	758	370	71	1243	517	1757	156	1313	55	521	804	88	580	304	1788	60	966	291	1512	292	338	1834	1328	3162	5842
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR17866819_1 - Adapter 1	9604462	2247264	809565	169400	45194	13501	6232	1564	885	615	599	100	329	69	259	101	163	145	131	129	142	133	80	86	112	103	91	65	118	90	81	98	104	90	77	118	113	107	84	65	68	94	105	121	82	91	183	126	117	635	157	95	274	244	223	1477	594
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR17866819_2 - Adapter 1	9874960	2307309	961460	157906	44434	12408	4640	1813	818	573	539	423	383	663	942	137	194	910	198	320	719	472	191	645	440	128	194	637	115	523	263	1313	482	281	79	906	303	1010	136	735	64	245	526	64	335	198	883	97	778	238	914	179	178	913	754	3211	1160
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR17866820_1 - Adapter 1	9546145	2397916	839721	187609	44255	13161	5414	1540	946	680	655	102	397	96	321	93	180	171	139	114	149	140	104	82	161	133	101	72	103	105	92	129	85	80	64	122	151	123	104	70	70	101	110	111	73	106	66	115	143	61	133	86	170	193	251	1355	1065
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR17866820_2 - Adapter 1	11071364	2680369	944305	157404	44675	12003	4119	1734	873	660	640	712	430	1529	1502	104	235	1930	185	474	1731	946	207	1423	831	96	219	1371	105	1162	532	2789	1201	603	113	2177	698	2458	162	1522	93	516	983	85	731	324	2288	107	1543	475	2289	322	263	1904	1540	4269	1050
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR17866821_1 - Adapter 1	8937250	2179643	762806	165000	42870	13174	4844	1393	756	808	509	92	274	64	221	135	98	159	149	93	109	108	136	57	82	116	101	55	93	88	103	77	71	97	74	112	121	59	94	86	92	128	116	140	103	178	142	108	200	73	156	113	207	195	282	734	1082
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR17866821_2 - Adapter 1	9670699	2306995	858384	148581	43254	11873	4126	1380	744	529	431	499	300	1028	1083	86	146	1425	154	276	1141	690	150	987	801	70	137	929	67	764	411	2228	865	524	69	1514	545	1792	154	1132	63	419	764	57	533	250	1803	56	1317	351	1522	259	207	1463	1155	2550	1154
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR17866822_1 - Adapter 1	7527197	1859668	658615	140010	37131	9807	4149	1179	725	561	472	86	254	75	288	130	111	176	142	100	104	107	93	58	82	114	83	47	92	75	96	60	49	66	54	92	98	104	79	49	52	60	101	114	75	133	44	106	102	55	81	58	171	150	252	1208	1201
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR17866822_2 - Adapter 1	8764362	2184259	751101	136425	37924	9613	3906	1664	721	705	591	475	299	923	1012	108	243	1359	147	389	1194	633	176	997	609	107	199	951	90	787	362	2153	762	454	66	1515	492	1652	232	1117	83	376	622	97	498	263	1487	93	1234	384	1560	256	279	1526	1299	3509	1193
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
SRR27320655_1 - Adapter 1	6285632	1600252	565919	126734	35175	10906	5990	3177	3754	692	2381	161	1884	132	1839	227	660	579	516	451	367	526	80	48	181	179	233	90	120	164	81	99	114	105	72	120	76	104	137	93	51	99	91	128	83	122	147	145	103	286	168	107	257	253	203	333	3007	1510	114
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
SRR27320655_2 - Adapter 1	7189375	1791239	621267	120066	32946	10781	5744	3447	3845	558	2378	269	1907	166	3197	190	827	1119	522	1108	669	501	1247	586	292	196	954	633	230	772	257	837	388	2600	82	231	281	1091	407	1448	53	811	193	75	242	883	159	99	189	1257	730	264	1382	240	194	1098	2360	4049	321
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
SRR27320656_1 - Adapter 1	9553339	2399643	830289	184496	52208	13401	6869	2787	2963	1004	1680	175	1253	137	1070	234	489	364	403	271	258	417	120	88	208	189	236	119	129	153	142	210	208	161	112	135	154	136	210	170	89	176	133	130	117	149	214	227	149	146	181	124	213	177	304	254	1939	2372	145
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
SRR27320656_2 - Adapter 1	10387754	2543435	915454	171419	45259	14094	6420	2675	2612	726	1671	297	1263	184	3665	156	513	1422	384	1147	1073	498	2021	818	323	172	1617	1037	184	1358	344	1411	683	4565	96	345	404	1931	662	2205	75	1457	279	102	478	1482	197	83	343	2117	1311	444	2383	286	298	1974	4350	3652	321
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
SRR27320657_1 - Adapter 1	12243848	3235871	1090310	244250	61613	16050	7868	2618	2234	905	1315	229	894	141	859	180	436	364	372	279	325	394	158	93	216	219	287	139	178	197	88	183	166	155	96	151	131	165	227	209	121	154	120	174	99	148	133	213	101	174	206	138	187	164	274	210	1444	3299	513
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
SRR27320657_2 - Adapter 1	15237317	3902807	1231559	231087	56714	18237	6835	3811	3419	894	1462	710	937	358	6493	231	632	2098	469	1726	1916	780	3590	1770	588	348	3409	2516	277	2127	574	2337	1286	10098	151	652	880	4188	1551	4979	115	2379	456	155	794	2559	312	138	615	5015	2622	789	4601	670	487	3095	8125	3952	1330
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
SRR27320658_1 - Adapter 1	8831890	2159879	804659	176301	53564	12524	5724	2075	1853	854	989	195	658	102	616	162	359	260	306	195	281	320	105	72	199	178	205	259	122	198	97	177	146	111	111	171	132	136	228	252	108	154	96	135	125	160	201	184	121	240	231	192	267	242	276	325	2670	1238	135
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
SRR27320658_2 - Adapter 1	9686497	2290851	895311	154787	46176	12519	4864	2053	1593	539	985	251	654	151	2217	160	390	809	261	721	656	383	1177	582	224	194	981	671	187	747	234	808	392	2787	105	221	273	1200	428	1472	86	857	163	78	276	874	157	92	182	1288	796	313	1470	273	212	1035	2629	3455	449
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
SRR27320659_1 - Adapter 1	8053340	2015072	687768	148097	40868	12873	7333	3576	4328	679	2630	272	2179	130	2031	199	725	677	516	427	358	569	125	62	213	191	206	81	101	168	91	121	94	110	103	94	91	103	109	97	52	97	70	100	75	141	106	107	91	124	135	96	151	129	212	252	3130	5398	381
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
SRR27320659_2 - Adapter 1	9211989	2330381	791324	155109	42305	14310	7356	4005	4380	737	2650	379	2235	212	4197	189	896	1655	633	1307	1058	709	1726	1041	465	212	1538	1157	261	1148	373	1232	659	4482	210	423	489	1909	726	2485	97	1328	344	134	484	1460	270	116	337	2483	1296	434	2230	428	385	2234	4044	7357	721
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
SRR27320660_1 - Adapter 1	6381962	1592246	553790	119387	33879	8520	4131	1619	1730	678	954	127	678	86	612	153	241	252	229	178	176	200	84	70	128	115	145	64	91	115	61	147	115	93	82	85	82	84	117	88	63	106	81	90	84	88	180	125	90	241	154	96	212	212	171	244	2053	788	52
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
SRR27320660_2 - Adapter 1	7021462	1710940	612129	112668	29057	8952	4138	1670	1465	493	997	197	688	144	2543	129	334	935	247	684	831	299	1493	655	253	123	1136	681	154	917	233	1077	482	3261	64	227	311	1528	547	1650	52	984	194	53	323	1042	109	56	216	1558	921	331	1756	232	206	1368	3034	2965	259

