	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46
SRR17866817_1 - polya	4.294961491196313e-05	0.002866886795373539	0.00739807116858565	0.010075263831431352	0.015093210506979045	0.01865444941009599	0.0219043036051012	0.025909355195641758	0.0322694773371883	0.04204051472965991	0.05153237962520377	0.054402845555153304	0.05884455156396549	0.06245231921657039	0.06726625522128626	0.07045168499392353	0.07459632283292797	0.07802513375673302	0.08135372891241016	0.08567374434563846	0.08896296902097964	0.09299665368812818	0.09660442134073308	0.10196238580100048	0.10750646525921971	0.11180858501956803	0.1191851813806977	0.124636203339941	0.12936781924940896	0.13423186313818877	0.13846955847616912	0.14453977071705992	0.14855555971132847	0.15193784188564557	0.1554131815589386	0.1585485034475119	0.16137959889712547	0.1648513594358425	0.16750349815665622	0.1703202770679658	0.17318000559418734	0.17576056162348114	0.17924305956592615	0.1819739392474118	0.18469766065974547	0.18469766065974547
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46
SRR17866817_2 - polya	7.874096067193241e-05	0.008954994709144314	0.011979363425861717	0.013310801488132575	0.015544181463554657	0.01719774163766524	0.018461176142992152	0.019925042184574897	0.023049626669420214	0.027151314893512694	0.03165028705554083	0.03337185078659535	0.0356481803769294	0.03808199188860731	0.04046569551622126	0.0436833375000425	0.04787092495395891	0.05134626462725193	0.05541216150558444	0.0584830589717898	0.0632683618998977	0.06681886339928664	0.07042663105189155	0.07341878755742498	0.07639662752465443	0.07912034893698808	0.08316477100786461	0.0860960822256061	0.0888913863294597	0.09142183447468952	0.0941240810795672	0.09662231701361305	0.0987841142975152	0.10142193648002494	0.10404544212423068	0.10680137574774833	0.10924950379773023	0.1112502400257125	0.11368405153739042	0.11582079487926059	0.11878073917361004	0.12133266212629584	0.12398122171253358	0.12640787495505948	0.12858398877726562	0.12858398877726562
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46
SRR17866818_1 - polya	4.288210636906485e-05	0.0029731593749218297	0.007504368614586349	0.009800943644574043	0.014346446919694918	0.017777015429220104	0.020959820657501807	0.025781675284778878	0.030984704190892078	0.04102864643822415	0.049890948421164226	0.052163700058724664	0.05797184313249022	0.061669233637200706	0.06736778910580088	0.0706172998328789	0.07441951326426932	0.07690191075518962	0.07947007245884807	0.08240034972740083	0.08553074349234256	0.08896607668035321	0.091548532419468	0.09581768434243268	0.0994721927407741	0.10292658464272654	0.10794379108790712	0.11241782418574622	0.11646780089838013	0.1197125469469727	0.12323840902620692	0.12741703205794802	0.13133359777298928	0.13482134242433988	0.1388713191369738	0.14194930143857556	0.1442792292179614	0.147819385332652	0.1500063727574743	0.15269365142326902	0.15546669430180188	0.15762509365571148	0.160826957597935	0.16306159180761182	0.16504846273604515	0.16504846273604515
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46
SRR17866818_2 - polya	4.288210636906485e-05	0.0076520736476353496	0.01028217617160466	0.011196994440811377	0.01285510255374855	0.014146330423305948	0.015089736763425374	0.016247553635390127	0.01914924283303018	0.022651281519837144	0.02676796373126737	0.0281640145275047	0.03009370931411262	0.03212822702740047	0.03414368602674652	0.03693102294073574	0.04006618138416292	0.04319657514910466	0.046817730798047914	0.049433539286560864	0.053998101275623545	0.0570379661493417	0.05993012599001085	0.062674580797631	0.06494733243519143	0.06719626068032462	0.07072688743804428	0.07383345781055876	0.07609191541266284	0.07838849044265055	0.08068030079415278	0.08264811300864432	0.08436816194189237	0.08668856036430732	0.08871831339910972	0.09109112328486464	0.09338293363636689	0.09546509813450925	0.09743767502748624	0.09941978127743413	0.10179259116318905	0.10416063637045851	0.10624280086860088	0.10832496536674326	0.11025942483183662	0.11025942483183662
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46
SRR17866819_1 - polya	5.213633472778167e-05	0.0026887452623898835	0.00689689227970369	0.00931750782063641	0.013790060535498253	0.016884724403983007	0.018985073888730785	0.022385107717763975	0.02796741955754574	0.036845492556905134	0.044803731650710096	0.047071662211368596	0.050654173211949025	0.05449736588616836	0.06023236270622434	0.06331957852689084	0.06613121657828193	0.06846617956930472	0.07090169120587395	0.0728754238777114	0.0751843187013703	0.07794754444194273	0.08069959811078778	0.08416666437018526	0.08748849369712677	0.09072467047415836	0.09534990816929442	0.09926013327387805	0.10367682563010298	0.10795945312559933	0.111109977352721	0.11525853998748876	0.11827499935388185	0.12126911457682017	0.12521657992049506	0.12811014649788696	0.1308212359037316	0.13421382168494653	0.1366381612497884	0.13904015667117547	0.14184807069865743	0.14385159556176788	0.1467339900674324	0.14949349178409568	0.15191783134893755	0.15191783134893755
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46
SRR17866819_2 - polya	2.97921912730181e-05	0.006792619610248126	0.009675014115912628	0.010747533001741279	0.012579752765031892	0.014035846113500651	0.015119537071056685	0.016489977869615518	0.019606985881555038	0.023945473735688297	0.02820203306382076	0.029807087368654606	0.031415865697397585	0.033568351516873145	0.03582138598189514	0.0388080531570152	0.0425506971856881	0.045451711810898236	0.04896719038111437	0.051741588193414186	0.056132212382275226	0.05945404170921674	0.06254498155379237	0.06544972020291163	0.06820922191957493	0.07060004526923463	0.0742570367479976	0.07719529161229902	0.0797462479900512	0.08198066233552756	0.08475878417173649	0.08729856847776128	0.08942498612987294	0.0922329001573549	0.09489930127629002	0.09755825434740689	0.10001983415134001	0.10223935240117986	0.10457059136829353	0.10680500571376988	0.10985498129534511	0.11266289532282707	0.11521385170057924	0.11752274652423815	0.11954861553080337	0.11954861553080337
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46
SRR17866820_1 - polya	4.789339204607071e-05	0.003338853616926072	0.008107667082084827	0.010642595903951856	0.014826425794833602	0.017416089921896142	0.019537082998222127	0.02256805052342346	0.027340284945156935	0.03473639305970014	0.04185198273511636	0.043730087894637275	0.046832895507907715	0.049956228860626464	0.054608729802244765	0.058207576118849504	0.06261034723051329	0.06506659405116177	0.06786493652928219	0.07250717460117632	0.07541498768968777	0.07931829914144253	0.08225347988255172	0.08768595892320602	0.09338869353326316	0.09754515577154715	0.10533467389218308	0.11001112152982441	0.11415732089838425	0.11843351661678342	0.12190578754012354	0.1275401030186863	0.13181629873708547	0.13468306034670027	0.1379432319624078	0.14033790156471132	0.14229126776887607	0.14522302755341054	0.1475321732413461	0.14984816084243108	0.15212651792119417	0.1540114649938645	0.15652586807628321	0.15896501011405811	0.16136310067293635	0.16136310067293635
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46
SRR17866821_1 - polya	2.653980639211237e-05	0.002487158999032245	0.006316473921322744	0.008435867031778574	0.011874667660013705	0.014441446078222288	0.016280275521104358	0.019021458381318253	0.023631801891719487	0.03129422313721364	0.03813770178546547	0.040116813062134424	0.04292244973787202	0.04565225839534644	0.050209522292963445	0.052984827761395764	0.05643500259237037	0.05889183038409735	0.06149273141052436	0.06533721193646749	0.06776749992180235	0.07096744229250848	0.07384132418468294	0.0795094685498555	0.08415014326756201	0.08816523683459729	0.09458407858057533	0.09895177243253439	0.10286070677400122	0.1068947573456023	0.11034493217657691	0.11697609237369185	0.12077128468776392	0.12344043093062779	0.12639014084106542	0.1288014718218345	0.13088674232407188	0.1337644156171595	0.13592551413766008	0.1380183674417238	0.14071026209006662	0.142890317615133	0.1456315004753469	0.1478911754195896	0.15021151277844286	0.15021151277844286
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46
SRR17866822_1 - polya	3.433136912126801e-05	0.003527548177210288	0.009269469662742362	0.012153304668928874	0.01697686203046703	0.020688941316704134	0.02330241679106066	0.027233358555445848	0.032421686713897474	0.041583870848135876	0.049926393544604	0.052127892589505315	0.05764666017574915	0.06135873946198625	0.06726373495084434	0.07067970617841052	0.0745076538354319	0.07737432315705778	0.08030107237464587	0.084176225664209	0.08726175746398296	0.09049748900366247	0.0932139585853828	0.09856965216830062	0.10405837980656334	0.10870169748021483	0.11543922867026368	0.12006538065935454	0.12457137285652096	0.1287254685201944	0.13274653012852292	0.1385270744043164	0.14264683869886857	0.14611430698011665	0.1502641112226499	0.15347838565662864	0.1560446554984434	0.15983827178634352	0.16237879310131736	0.16523687958066294	0.1680735089543077	0.17026213373578852	0.17348928243318773	0.17574227853177093	0.17813689152797937	0.17813689152797937
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46
SRR17866822_2 - polya	3.862279026142651e-05	0.006334137602873948	0.008771664810483977	0.009771565936140907	0.01159541992070827	0.012874263420475504	0.01394282728437497	0.015337539154926482	0.018487442271802823	0.022487046774430544	0.026692639491785877	0.028559407687754824	0.030537752833367893	0.03255901219038255	0.034970790871151625	0.038210813831971294	0.042214709755739176	0.04518866460586902	0.04898657231490929	0.05156571642014455	0.055646857924435286	0.058989874992618756	0.06212261242493446	0.06508369301164382	0.067795871172224	0.07013469569361039	0.07396693477177192	0.07651603892902607	0.07902222887487864	0.081631412928095	0.08391444897465933	0.0861502793886819	0.08845477254094702	0.09133431612599338	0.09390487738894832	0.09643252444050168	0.09876276611960774	0.10097284800678936	0.10316576420941037	0.10546167451939516	0.10814381273199422	0.11052984288592235	0.11299311862037334	0.11506158360992973	0.11725020839141057	0.11725020839141057
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR27320655_1 - polya	0.001580071468004264	0.005969723391977525	0.014703301699049326	0.018808439146468764	0.026470007550810984	0.03049893576343922	0.03346601530464337	0.03873461373654183	0.045395300857292924	0.058965625265779704	0.07215490350031048	0.07561988337548381	0.08296645360935573	0.08802166618383883	0.09452485421935476	0.09987982311734993	0.10566156373017582	0.10993944210978865	0.11380071000587624	0.11981107832307573	0.12398226377398089	0.12949981237286395	0.13430607478036244	0.14298376631525403	0.1509755747370248	0.1574838433881935	0.16734023775452234	0.17415842396050857	0.18102233570736956	0.18626553106100427	0.1916611448842214	0.1973463537996451	0.20243713068369742	0.2072383124755432	0.2129235213909669	0.21803970135328293	0.22170790585456615	0.2259959454654845	0.2294253610310886	0.2332256615393432	0.23750353991895606	0.2407856176306305	0.24518035017025652	0.24890444144371993	0.2527199837989328	0.2561341575175787	0.26001574787627724	0.26001574787627724
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR27320655_2 - polya	0.0019204727167383016	0.008967286627098154	0.011908963090038568	0.013113068999739567	0.015379023580864654	0.016776192885370033	0.01785328340375236	0.01916916285781379	0.02286785105301348	0.02910684707458659	0.03447705781953999	0.036438175461500265	0.03849582480086273	0.040919278467222965	0.04358660168491505	0.04758504620362681	0.052015343052822044	0.05557177400974483	0.05995634531806534	0.06299963409406069	0.06822758760073717	0.07230732196989288	0.07576722122941347	0.07935921649590548	0.08262605236062169	0.08513587649307863	0.08950012533878815	0.09287365413221205	0.09598807152734586	0.09892974799028627	0.10163263551754759	0.10432028119785065	0.10689615333379329	0.110173150429815	0.11318087489624112	0.11631561475398593	0.11908455028473294	0.12172647042416129	0.12421597209400724	0.12682232792386636	0.1301145668668463	0.13280729316280213	0.1357235665474788	0.13836548668690715	0.14102264867329375	0.14460956332413302	0.1473429345453108	0.1473429345453108
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR27320656_1 - polya	0.00224914096075931	0.004677386561579086	0.011535027683894226	0.01518945120512796	0.021723326247333793	0.025549965768625667	0.0281676489695094	0.03251438081097686	0.03925835937325362	0.051316923697324594	0.06226297266101998	0.0657141813021851	0.07056033954382117	0.07537894322544793	0.08268090162791307	0.08713440738941658	0.09130547891082473	0.09559710163227358	0.09962695603363406	0.102651068994655	0.10585084227573524	0.10984969779708526	0.11362467251835968	0.11939046420030622	0.12385774724181438	0.12823203364329114	0.13430781412534232	0.14018726836732723	0.14582562020923073	0.15023434981071912	0.1543744224521168	0.15960978885388427	0.16364997621524824	0.16797259781670754	0.17372461221864943	0.17806445542011456	0.1815122197412785	0.18651337238296692	0.18994735942412622	0.19341578966529718	0.19761097142671347	0.201282616547953	0.20542957782935303	0.2092665503106484	0.21280731127184374	0.21632396199303097	0.2203297061543833	0.2203297061543833
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR27320656_2 - polya	0.002459244480830241	0.008479915842862819	0.011517806083888412	0.012733651044298881	0.01468658048495819	0.016367408645525636	0.017359372805860526	0.018726767846322157	0.022322637927536124	0.02727212576920707	0.032762371851060575	0.03481863089175477	0.03694033201247106	0.039437464013314084	0.041944928974160606	0.045299696655293174	0.049205555536611795	0.05241910609769669	0.056300854739007165	0.059493739380085085	0.06412979410165022	0.06794265634293745	0.07133875586408396	0.074576416665177	0.07731120674610026	0.08021821282708166	0.08442717186850261	0.08759939058957356	0.09051672963055844	0.09329629587149683	0.09594497795239103	0.09851099635325732	0.10089446579406197	0.10394268899509106	0.10677736435604804	0.11006668995715851	0.11272226067805503	0.11514017331887132	0.11763730531971435	0.12043064884065739	0.12346509476168181	0.12619644052260393	0.12917233300360859	0.13187956852452254	0.13441803236537953	0.13741114644639	0.13990483412723187	0.13990483412723187
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR27320657_1 - polya	0.003033459852652899	0.007460137422648009	0.01732876292048867	0.021174933108257857	0.02757039528946173	0.031441267919027766	0.03445743606242287	0.039099024876050555	0.044395228397294706	0.05583986968177425	0.06797370909238584	0.07090341868949199	0.07888724787823316	0.08358071181963424	0.09018861500029099	0.09675452402989311	0.10330808183859681	0.10754949109511557	0.11114122613237723	0.11979449149381298	0.1238950968320897	0.13011023118817658	0.1352952737213349	0.145858037833667	0.1563368136438898	0.16344617639302256	0.17316164675172277	0.18043404561671475	0.1864589711709659	0.19224181279560795	0.19780727293243774	0.20369386481262655	0.20875045464844127	0.2126880238708588	0.2176655658929236	0.22160066487116145	0.22451802324736916	0.22875943250388792	0.23198063091419685	0.2351524244409121	0.23917645220961858	0.24206663789984978	0.2462833447145717	0.24955394800847433	0.25313580206901726	0.2563125360840919	0.25991662234225194	0.25991662234225194
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR27320657_2 - polya	0.0028061973881219	0.0070747793306171845	0.00950055911506763	0.010557823623972711	0.01274645996717342	0.014095213289281304	0.015145067065647331	0.016607451620020718	0.020209067634001113	0.025517622376143686	0.030092514596919882	0.03173769722058994	0.03362990426222848	0.035811129872890125	0.03830360625019206	0.04251043208819523	0.0463763642294019	0.04975318802303098	0.05369569773380787	0.05651671658700788	0.06089398927340929	0.06426834282285869	0.06739073146598024	0.07043901278371124	0.07295866184698972	0.07553265628222125	0.07941093964432634	0.08255309024088536	0.08510485247849973	0.08793575230841848	0.09039364526720484	0.09267368064505388	0.09492160284856702	0.09758205583008751	0.10013381806770189	0.102742395921449	0.10518546741515725	0.10744327059538912	0.10973071670577722	0.11205521647886059	0.11470578848366235	0.11718344339588617	0.11977719978455519	0.12224991420841964	0.12453489007462805	0.12731885526513279	0.12944820574802107	0.12944820574802107
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR27320658_1 - polya	0.002190444690524822	0.006146265259252341	0.015202911575845354	0.018814081756203582	0.025714748421108703	0.029360383640303862	0.031749959666330936	0.03604660117466809	0.04167206140260683	0.05260513761143265	0.06297145540382897	0.06575163520334124	0.07188258266755494	0.07632474322875912	0.08288075950529496	0.08860578540098484	0.09392488972815088	0.0977313617952517	0.10122381906406051	0.1086567791065582	0.11228709653071473	0.11723091487943421	0.12202155527776734	0.13080248128366492	0.13924258634995287	0.14603602844958755	0.15575133995284188	0.16313068771270434	0.16974414572063504	0.17508239729159938	0.18017939359070523	0.18596569066654964	0.19122352381356114	0.19523678611368353	0.20022655784751894	0.20422833180136235	0.20711956561490474	0.21138940098192427	0.21427297589794733	0.21734036435443402	0.2213076732694405	0.22426400771189708	0.22850320748883937	0.23214501325927486	0.2360319037503285	0.23945926039022314	0.24353379387050006	0.24353379387050006
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR27320658_2 - polya	0.0010148039213095765	0.005077849055307541	0.007050015166531812	0.007861858303579473	0.009535327411550361	0.010626720308053112	0.011423245650062138	0.012376778391217175	0.015030586381660709	0.019062995925581402	0.023171994444695275	0.024573572690730388	0.02606322825823765	0.027874557521556254	0.02983140583774189	0.032745616343842224	0.035770880863972655	0.03827151090402984	0.0416567436075682	0.04378208766917882	0.04745069958093193	0.0501198253664141	0.052444300763526984	0.05495641914986314	0.05715452273790728	0.05929135514579688	0.06240852643615913	0.06505467552908334	0.0671493840006167	0.0692479219209097	0.071534102830426	0.07331096705490767	0.07505719568931207	0.07734337659882837	0.07929639546625435	0.0814370573229036	0.08344751792172446	0.08540436623791009	0.08751056305572243	0.08938316349919556	0.09155063149716243	0.09380234736784179	0.09600810985340526	0.09796495816959089	0.09974565184283223	0.10211991007382067	0.10393889823465859	0.10393889823465859
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR27320659_1 - polya	0.0018975474891960618	0.005918446657325504	0.013781978528002295	0.01837729186300737	0.02562283331966624	0.030111186775322058	0.03393401209280473	0.03952761763506953	0.04752980120119906	0.06136724040738245	0.07587813070576487	0.07981187737960972	0.08589670607147852	0.09123281560790251	0.1010414326919306	0.10718172206198048	0.11266440624788308	0.11695864732990507	0.12150642294075492	0.12550751472381969	0.13013055839791532	0.13481302422720498	0.13979260083246478	0.1462498083635495	0.15163741710114165	0.1566209551834144	0.16332773576631407	0.16963836864792017	0.17608765322497902	0.1819704465891881	0.18749274554522005	0.19378753251877442	0.1983828458537795	0.20281573863125424	0.21010089485804245	0.21494578124486247	0.21899044927506953	0.22544765680615422	0.22956363142259412	0.2345630154129186	0.23890479421909583	0.2425374686399576	0.2473942394578164	0.25157359770646326	0.2554756525642046	0.25919944095636394	0.2630975343370924	0.2630975343370924
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
