Sample	Unique Reads	Duplicate Reads
SRR17866817_1	9692841.0	18246874.0
SRR17866817_1_val_1	9979267.0	17925307.0
SRR17866817_2	10951795.0	16987920.0
SRR17866817_2_val_2	11250831.0	16653743.0
SRR17866818_1	6841745.0	14146030.0
SRR17866818_1_val_1	7055601.0	13898324.0
SRR17866818_2	7694413.0	13293362.0
SRR17866818_2_val_2	7936719.0	13017206.0
SRR17866819_1	9325122.0	17527552.0
SRR17866819_1_val_1	9595572.0	17232834.0
SRR17866819_2	9989850.0	16862824.0
SRR17866819_2_val_2	10268814.0	16559592.0
SRR17866820_1	8953720.0	20277870.0
SRR17866820_1_val_1	9263812.0	19932165.0
SRR17866820_2	9756229.0	19475361.0
SRR17866820_2_val_2	10074344.0	19121633.0
SRR17866821_1	8192618.0	18182857.0
SRR17866821_1_val_1	8598857.0	17748403.0
SRR17866821_2	7786317.0	18589158.0
SRR17866821_2_val_2	7994343.0	18352917.0
SRR17866822_1	7472150.0	15830154.0
SRR17866822_1_val_1	7775555.0	15499200.0
SRR17866822_2	7429899.0	15872405.0
SRR17866822_2_val_2	7625857.0	15648898.0
SRR27320655_1	10491130.0	9191524.0
SRR27320655_1_val_1	10753972.0	8903545.0
SRR27320655_2	11279463.0	8403191.0
SRR27320655_2_val_2	11576055.0	8081462.0
SRR27320656_1	14119601.0	14913706.0
SRR27320656_1_val_1	14471043.0	14527432.0
SRR27320656_2	15956935.0	13076372.0
SRR27320656_2_val_2	16344961.0	12653514.0
SRR27320657_1	15060779.0	25421049.0
SRR27320657_1_val_1	15555426.0	24867410.0
SRR27320657_2	17317375.0	23164453.0
SRR27320657_2_val_2	17924417.0	22498419.0
SRR27320658_1	13229945.0	12883474.0
SRR27320658_1_val_1	13610867.0	12474195.0
SRR27320658_2	14566702.0	11546717.0
SRR27320658_2_val_2	14986134.0	11098928.0
SRR27320659_1	11691358.0	13551752.0
SRR27320659_1_val_1	12069385.0	13133766.0
SRR27320659_2	12818851.0	12424259.0
SRR27320659_2_val_2	13195141.0	12008010.0
SRR27320660_1	10247629.0	9154192.0
SRR27320660_1_val_1	10470623.0	8906963.0
SRR27320660_2	11149680.0	8252141.0
SRR27320660_2_val_2	11373387.0	8004199.0
