Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
SRR17866817	24213182.0	2677161.0	3946.0	1001912.0	8373.0
SRR17866818	18872077.0	1712985.0	2426.0	362249.0	4188.0
SRR17866819	23679878.0	2628196.0	6979.0	499914.0	13439.0
SRR17866820	24921205.0	3654075.0	7755.0	601267.0	11675.0
SRR17866821	22902329.0	2853840.0	3140.0	582701.0	5250.0
SRR17866822	20778888.0	2078283.0	3461.0	409470.0	4653.0
SRR27320655	17862904.0	1401649.0	5605.0	379494.0	7865.0
SRR27320656	26364549.0	2160880.0	3072.0	464172.0	5802.0
SRR27320657	36034925.0	3501887.0	5890.0	863985.0	16149.0
SRR27320658	22789439.0	2498740.0	7943.0	752487.0	36453.0
SRR27320659	22523777.0	2128948.0	4760.0	538122.0	7544.0
SRR27320660	17588154.0	1506697.0	2407.0	278395.0	1933.0
