Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	Total Bases
SRR17866817_1	SRR17866817_1.gz	Conventional base calls	Sanger / Illumina 1.9	27939715.0	0.0	44-57	48.0	34.69198087334334	56.55100536995456	57	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	1.5 Gbp
SRR17866817_1_val_1	SRR17866817_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27904574.0	0.0	20-57	48.0	35.76211707646546	55.892326254469964	56	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	
SRR17866817_2	SRR17866817_2.gz	Conventional base calls	Sanger / Illumina 1.9	27939715.0	0.0	44-57	49.0	39.19794488474761	56.523645821011414	57	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass	1.5 Gbp
SRR17866817_2_val_2	SRR17866817_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27904574.0	0.0	20-57	49.0	40.31894790009359	55.768192268407326	56	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass	
SRR17866818_1	SRR17866818_1.gz	Conventional base calls	Sanger / Illumina 1.9	20987775.0	0.0	44-57	48.0	32.59871090807283	56.54882597130949	57	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	1.1 Gbp
SRR17866818_1_val_1	SRR17866818_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20953925.0	0.0	20-57	48.0	33.67197530263401	55.89911956829091	56	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	
SRR17866818_2	SRR17866818_2.gz	Conventional base calls	Sanger / Illumina 1.9	20987775.0	0.0	44-57	49.0	36.66140321976001	56.532580371192275	57	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass	1.1 Gbp
SRR17866818_2_val_2	SRR17866818_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20953925.0	0.0	20-57	49.0	37.877001297628496	55.75234706624177	56	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass	
SRR17866819_1	SRR17866819_1.gz	Conventional base calls	Sanger / Illumina 1.9	26852674.0	0.0	44-57	49.0	34.726976756954144	56.56127158881831	57	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	1.5 Gbp
SRR17866819_1_val_1	SRR17866819_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26828406.0	0.0	20-57	49.0	35.766462628801776	55.87219878065063	56	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	
SRR17866819_2	SRR17866819_2.gz	Conventional base calls	Sanger / Illumina 1.9	26852674.0	0.0	44-57	50.0	37.202437176433556	56.527880612560224	57	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass	1.5 Gbp
SRR17866819_2_val_2	SRR17866819_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26828406.0	0.0	20-57	50.0	38.27589865788642	55.77664241401446	56	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass	
SRR17866820_1	SRR17866820_1.gz	Conventional base calls	Sanger / Illumina 1.9	29231590.0	0.0	44-57	49.0	30.630284322551226	56.55678938436123	57	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	1.6 Gbp
SRR17866820_1_val_1	SRR17866820_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29195977.0	0.0	20-57	49.0	31.729753584828615	55.90816214165397	56	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	
SRR17866820_2	SRR17866820_2.gz	Conventional base calls	Sanger / Illumina 1.9	29231590.0	0.0	44-57	50.0	33.375633476175835	56.537547495705844	57	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass	1.6 Gbp
SRR17866820_2_val_2	SRR17866820_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29195977.0	0.0	20-57	49.0	34.50592898927049	55.765129147758955	56	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass	
SRR17866821_1	SRR17866821_1.gz	Conventional base calls	Sanger / Illumina 1.9	26375475.0	0.0	44-57	48.0	31.061495825054912	56.55743060551516	57	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	1.4 Gbp
