Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
SRR17866817	64335943	0	10557788	0	0	0	0	0	64335943	0	100.0	nan	53778155	0	26890176	0	26887979	0	53775624	0	100.0	nan	53775624	0	2531	0	0.0	nan	0	0	0	0	64335943
SRR17866818	47591773	0	6423583	0	0	0	0	0	47591773	0	100.0	nan	41168190	0	20584950	0	20583240	0	41166256	0	100.0	nan	41166256	0	1934	0	0.0	nan	0	0	0	0	47591773
SRR17866819	67296512	0	14682580	0	0	0	0	0	67296512	0	100.0	nan	52613932	0	26307927	0	26306005	0	52611716	0	100.0	nan	52611716	0	2216	0	0.0	nan	0	0	0	0	67296512
SRR17866820	79902518	0	22754288	0	0	0	0	0	79902518	0	100.0	nan	57148230	0	28575137	0	28573093	0	57145900	0	100.0	nan	57145900	0	2330	0	0.0	nan	0	0	0	0	79902518
SRR17866821	64826259	0	13315832	0	0	0	0	0	64826259	0	100.0	nan	51510427	0	25756024	0	25754403	0	51508516	0	100.0	nan	51508516	0	1911	0	0.0	nan	0	0	0	0	64826259
SRR17866822	54193256	0	8480852	0	0	0	0	0	54193256	0	100.0	nan	45712404	0	22857022	0	22855382	0	45710466	0	100.0	nan	45710466	0	1938	0	0.0	nan	0	0	0	0	54193256
SRR27320655	43678448	0	5151053	0	0	0	0	0	43678448	0	100.0	nan	38527395	0	19264404	0	19262991	0	38525684	0	100.0	nan	38525684	0	1711	0	0.0	nan	0	0	0	0	43678448
SRR27320656	64681592	0	7633011	0	0	0	0	0	64681592	0	100.0	nan	57048581	0	28525225	0	28523356	0	57046304	0	100.0	nan	57046304	0	2277	0	0.0	nan	0	0	0	0	64681592
SRR27320657	90834543	0	11764281	0	0	0	0	0	90834543	0	100.0	nan	79070262	0	39536565	0	39533697	0	79066900	0	100.0	nan	79066900	0	3362	0	0.0	nan	0	0	0	0	90834543
SRR27320658	60646838	0	10072984	0	0	0	0	0	60646838	0	100.0	nan	50573854	0	25287981	0	25285873	0	50571350	0	100.0	nan	50571350	0	2504	0	0.0	nan	0	0	0	0	60646838
SRR27320659	57619718	0	8316635	0	0	0	0	0	57619718	0	100.0	nan	49303083	0	24652566	0	24650517	0	49300716	0	100.0	nan	49300716	0	2367	0	0.0	nan	0	0	0	0	57619718
SRR27320660	43459674	0	5271509	0	0	0	0	0	43459674	0	100.0	nan	38188165	0	19094726	0	19093439	0	38186628	0	100.0	nan	38186628	0	1537	0	0.0	nan	0	0	0	0	43459674
