Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
SRR17866817	53778155.0	0.0	53778155.0	1.0	26890176.0	26887979.0	53778155.0	53775624.0	0.0	53775624.0	53778155.0	0.0	738315.0	0.0	10557788.0	0.0	3002974663.0	1503074773.0	1499899890.0	3002974663.0	2956164817.0	0.0	0.0	8080098.0	0.002733304	55.0	56.0	56.0	57.0	57.0	57.0	36.0	1097.8	1949.9	26882838.0	4974.0	0.0	0.0	100.0	100.0	99.995293628054	0.0	99.995293628054	100.0	0.0	1.3728901633014372	0.0
SRR17866818	41168190.0	0.0	41168190.0	1.0	20584950.0	20583240.0	41168190.0	41166256.0	0.0	41166256.0	41168190.0	0.0	441065.0	0.0	6423583.0	0.0	2298655036.0	1150777042.0	1147877994.0	2298655036.0	2262530425.0	0.0	0.0	6548678.0	0.002894405	55.0	56.0	56.0	57.0	57.0	57.0	35.9	1102.7	1958.1	20576876.0	6252.0	0.0	0.0	100.0	100.0	99.99530219812918	0.0	99.99530219812918	100.0	0.0	1.0713733103155616	0.0
SRR17866819	52613932.0	0.0	52613932.0	1.0	26307927.0	26306005.0	52613932.0	52611716.0	0.0	52611716.0	52613932.0	0.0	1431631.0	0.0	14682580.0	0.0	2937621308.0	1470003154.0	1467618154.0	2937621308.0	2891020201.0	0.0	0.0	7916002.0	0.002738134	55.0	56.0	56.0	57.0	57.0	57.0	36.0	1115.5	1926.4	26301774.0	4084.0	0.0	0.0	100.0	100.0	99.99578818781308	0.0	99.99578818781308	100.0	0.0	2.721011233298435	0.0
SRR17866820	57148230.0	0.0	57148230.0	1.0	28575137.0	28573093.0	57148230.0	57145900.0	0.0	57145900.0	57148230.0	0.0	2552628.0	0.0	22754288.0	0.0	3191477746.0	1597716568.0	1593761178.0	3191477746.0	3140384943.0	0.0	0.0	8768048.0	0.00279203	55.0	56.0	56.0	57.0	57.0	57.0	36.0	1053.1	1953.2	28567406.0	5544.0	0.0	0.0	100.0	100.0	99.9959228833509	0.0	99.9959228833509	100.0	0.0	4.466679020505096	0.0
SRR17866821	51510427.0	0.0	51510427.0	1.0	25756024.0	25754403.0	51510427.0	51508516.0	0.0	51508516.0	51510427.0	0.0	1196119.0	0.0	13315832.0	0.0	2876413521.0	1439247119.0	1437166402.0	2876413521.0	2832306943.0	0.0	0.0	7455136.0	0.002632178	55.0	56.0	56.0	57.0	57.0	57.0	35.8	1207.0	1996.6	25750614.0	3644.0	0.0	0.0	100.0	100.0	99.9962900715228	0.0	99.9962900715228	100.0	0.0	2.322091020522893	0.0
SRR17866822	45712404.0	0.0	45712404.0	1.0	22857022.0	22855382.0	45712404.0	45710466.0	0.0	45710466.0	45712404.0	0.0	663584.0	0.0	8480852.0	0.0	2552922146.0	1277754941.0	1275167205.0	2552922146.0	2513640018.0	0.0	0.0	6593703.0	0.002623169	55.0	56.0	56.0	57.0	57.0	57.0	35.9	963.5	1805.5	22850902.0	4331.0	0.0	0.0	100.0	100.0	99.99576045048954	0.0	99.99576045048954	100.0	0.0	1.4516497535329798	0.0
SRR27320655	38527395.0	0.0	38527395.0	1.0	19264404.0	19262991.0	38527395.0	38525684.0	0.0	38525684.0	38527395.0	0.0	322044.0	0.0	5151053.0	0.0	2227384019.0	1114897404.0	1112486615.0	2227384019.0	2191658967.0	0.0	0.0	7567226.0	0.003452739	57.0	58.0	58.0	59.0	59.0	59.0	35.2	1034.3	1945.6	19238227.0	24615.0	0.0	0.0	100.0	100.0	99.9955590041839	0.0	99.9955590041839	100.0	0.0	0.8358831423718109	0.0
SRR27320656	57048581.0	0.0	57048581.0	1.0	28525225.0	28523356.0	57048581.0	57046304.0	0.0	57046304.0	57048581.0	0.0	440152.0	0.0	7633011.0	0.0	3298754581.0	1651079719.0	1647674862.0	3298754581.0	3246801831.0	0.0	0.0	9253800.0	0.002850128	57.0	58.0	58.0	59.0	59.0	59.0	35.4	1116.2	1992.1	28505200.0	17952.0	0.0	0.0	100.0	100.0	99.99600866496574	0.0	99.99600866496574	100.0	0.0	0.7715389099686809	0.0
SRR27320657	79070262.0	0.0	79070262.0	1.0	39536565.0	39533697.0	79070262.0	79066900.0	0.0	79066900.0	79070262.0	0.0	657468.0	0.0	11764281.0	0.0	4572537591.0	2289876016.0	2282661575.0	4572537591.0	4500188273.0	0.0	0.0	15326060.0	0.003405649	57.0	58.0	58.0	59.0	59.0	59.0	35.4	891.3	1807.1	39519030.0	14420.0	0.0	0.0	100.0	100.0	99.995748085418	0.0	99.995748085418	100.0	0.0	0.8314984462806004	0.0
SRR27320658	50573854.0	0.0	50573854.0	1.0	25287981.0	25285873.0	50573854.0	50571350.0	0.0	50571350.0	50573854.0	0.0	662977.0	0.0	10072984.0	0.0	2923620229.0	1463387300.0	1460232929.0	2923620229.0	2873565388.0	0.0	0.0	12692816.0	0.004417097	57.0	58.0	58.0	59.0	59.0	59.0	35.3	1285.1	2213.6	25277036.0	8639.0	0.0	0.0	100.0	100.0	99.9950488250312	0.0	99.9950488250312	100.0	0.0	1.3109085971577328	0.0
SRR27320659	49303083.0	0.0	49303083.0	1.0	24652566.0	24650517.0	49303083.0	49300716.0	0.0	49300716.0	49303083.0	0.0	539479.0	0.0	8316635.0	0.0	2850587931.0	1427022422.0	1423565509.0	2850587931.0	2804857728.0	0.0	0.0	9933333.0	0.003541475	57.0	58.0	58.0	59.0	59.0	59.0	35.3	743.7	1581.9	24620488.0	29870.0	0.0	0.0	100.0	100.0	99.99519908318918	0.0	99.99519908318918	100.0	0.0	1.0942094635339539	0.0
