task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	1b/97b128	5933220	NFCORE_RNASPLICE:RNASPLICE:CONTRASTS_CHECK:CONTRASTSHEET_CHECK (contrastsheet.csv)	COMPLETED	0	2026-03-26 16:17:32.791	1m 3s	0ms	49.9%	16.7 MB	21.7 MB	2 MB	1.8 KB
1	9e/c3bd99	5933225	NFCORE_RNASPLICE:RNASPLICE:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_few_samples.csv)	COMPLETED	0	2026-03-26 16:17:47.731	48.3s	0ms	49.2%	16.9 MB	21.9 MB	2 MB	4 KB
5	b0/b37572	5933223	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:GUNZIP_TRANSCRIPT_FASTA (genome.transcripts.fa.gz)	COMPLETED	0	2026-03-26 16:17:43.731	58.8s	4.6s	91.1%	4.5 MB	7.2 MB	77.3 MB	879.5 MB
4	ad/fc9425	5933221	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:GUNZIP_GTF (gencode.v49.primary_assembly.annotation.gtf.gz)	COMPLETED	0	2026-03-26 16:17:35.733	1m 20s	14.1s	90.3%	4.3 MB	7.2 MB	89.3 MB	3.1 GB
2	60/41ac2d	5933222	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:GUNZIP_FASTA (GRCh38.primary_assembly.genome.fa.gz)	COMPLETED	0	2026-03-26 16:17:39.730	1m 26s	22.5s	95.5%	4.4 MB	7.2 MB	806.6 MB	2.9 GB
30	86/3880c1	5933265	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:PREPROCESS_TRANSCRIPTS_FASTA_GENCODE (genome.transcripts.fa)	COMPLETED	0	2026-03-26 16:20:11.084	1m 10s	3.4s	123.0%	8.6 MB	12.9 MB	1.7 GB	1.7 GB
10	25/e10315	5933258	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866818)	COMPLETED	0	2026-03-26 16:19:35.080	1m 51s	1m 29s	190.4%	1.1 GB	6.1 GB	1.6 GB	4.4 MB
24	43/0ac0f0	5933253	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR27320655)	COMPLETED	0	2026-03-26 16:19:19.083	2m 7s	1m 25s	191.2%	1014.3 MB	6.1 GB	1.6 GB	4.4 MB
39	56/24c4d2	5933285	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (GRCh38.primary_assembly.genome.fa)	COMPLETED	0	2026-03-26 16:20:47.084	38.9s	12s	95.6%	6 MB	12 MB	2.9 GB	15.8 KB
35	40/019a8b	5933273	NFCORE_RNASPLICE:RNASPLICE:EDGER_DEU:SUBREAD_FLATTENGTF (gencode.v49.primary_assembly.annotation.gtf)	COMPLETED	0	2026-03-26 16:20:15.084	1m 16s	15s	97.1%	180.4 MB	196.6 MB	3.1 GB	48.4 MB
20	18/a1f831	5933261	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866822)	COMPLETED	0	2026-03-26 16:19:43.082	1m 53s	1m 36s	192.6%	1 GB	6 GB	1.7 GB	4.4 MB
7	7f/e66480	5933249	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866817)	COMPLETED	0	2026-03-26 16:19:07.118	2m 44s	1m 52s	195.0%	1.1 GB	6 GB	2.1 GB	4.4 MB
17	37/56ca6f	5933252	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866821)	COMPLETED	0	2026-03-26 16:19:15.099	2m 36s	1m 53s	193.1%	1.1 GB	6.1 GB	2 GB	4.4 MB
11	e9/dcffae	5933251	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866819)	COMPLETED	0	2026-03-26 16:19:11.227	2m 40s	1m 54s	193.4%	1.1 GB	6.1 GB	2 GB	4.4 MB
16	f7/cc0496	5933256	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866820)	COMPLETED	0	2026-03-26 16:19:27.194	2m 34s	2m 1s	198.9%	1023.1 MB	6 GB	2.1 GB	4.4 MB
27	37/fe94e3	5933257	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR27320658)	COMPLETED	0	2026-03-26 16:19:31.084	2m 35s	2m 10s	195.3%	1.3 GB	6.1 GB	2.1 GB	4.4 MB
33	4f/52725a	5933278	NFCORE_RNASPLICE:RNASPLICE:TX2GENE_TXIMPORT_STAR_SALMON:GFFREAD_TX2GENE (gencode.v49.primary_assembly.annotation.gtf)	COMPLETED	0	2026-03-26 16:20:27.081	1m 44s	54s	99.9%	1.1 GB	1.1 GB	3.1 GB	44.3 MB
38	a7/d5df15	5933280	NFCORE_RNASPLICE:RNASPLICE:TX2GENE_TXIMPORT_SALMON:GFFREAD_TX2GENE (gencode.v49.primary_assembly.annotation.gtf)	COMPLETED	0	2026-03-26 16:20:31.084	1m 40s	55s	100.0%	1.1 GB	1.1 GB	3.1 GB	44.3 MB
34	06/1ade64	5933275	NFCORE_RNASPLICE:RNASPLICE:SUPPA_STAR_SALMON:GENERATE_EVENTS_IOI (gencode.v49.primary_assembly.annotation.gtf)	COMPLETED	0	2026-03-26 16:20:19.085	2m 52s	1m 53s	87.0%	2.8 GB	3.1 GB	3.1 GB	436.2 MB
37	0f/24db18	5933277	NFCORE_RNASPLICE:RNASPLICE:SUPPA_SALMON:GENERATE_EVENTS_IOI (gencode.v49.primary_assembly.annotation.gtf)	COMPLETED	0	2026-03-26 16:20:23.085	2m 48s	1m 53s	87.0%	2.8 GB	3.1 GB	3.1 GB	436.2 MB
25	58/9b39b2	5933262	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR27320656)	COMPLETED	0	2026-03-26 16:19:52.777	3m 28s	2m 2s	198.2%	1.2 GB	6.1 GB	2.3 GB	4.4 MB
29	db/59b6cd	5933311	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR27320660)	COMPLETED	0	2026-03-26 16:21:27.090	2m 24s	1m 19s	199.4%	1.1 GB	6 GB	1.5 GB	4.4 MB
26	5f/00587d	5933263	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR27320657)	COMPLETED	0	2026-03-26 16:19:55.252	4m 11s	2m 47s	199.2%	1.2 GB	6.1 GB	3.1 GB	4.4 MB
28	60/779ad6	5933313	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR27320659)	COMPLETED	0	2026-03-26 16:21:35.089	2m 46s	1m 47s	200.3%	1.3 GB	6 GB	2 GB	4.4 MB
36	ae/dad16a	5933283	NFCORE_RNASPLICE:RNASPLICE:SUPPA_SALMON:GENERATE_EVENTS_IOE (gencode.v49.primary_assembly.annotation.gtf)	COMPLETED	0	2026-03-26 16:20:39.085	4m 17s	3m 33s	92.9%	2.8 GB	3.1 GB	3.4 GB	1.7 GB
32	c7/a7de81	5933284	NFCORE_RNASPLICE:RNASPLICE:SUPPA_STAR_SALMON:GENERATE_EVENTS_IOE (gencode.v49.primary_assembly.annotation.gtf)	COMPLETED	0	2026-03-26 16:20:43.083	4m 13s	3m 33s	92.6%	2.8 GB	3.1 GB	3.4 GB	1.7 GB
31	ec/8a9e23	5933282	NFCORE_RNASPLICE:RNASPLICE:DEXSEQ_DEU:DEXSEQ_ANNOTATION (gencode.v49.primary_assembly.annotation.gtf)	COMPLETED	0	2026-03-26 16:20:35.081	6m 26s	5m 38s	99.1%	2.1 GB	2.8 GB	3.1 GB	343.1 MB
23	26/8ccabc	5933259	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR27320660)	COMPLETED	0	2026-03-26 16:19:39.096	7m 37s	7m 18s	449.2%	2.3 GB	3 GB	48.3 GB	46.8 GB
15	03/532011	5933247	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR27320655)	COMPLETED	0	2026-03-26 16:18:59.085	8m 27s	7m 22s	458.0%	2.3 GB	3 GB	49.1 GB	47.5 GB
8	8e/8dac9d	5933230	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR17866818)	COMPLETED	0	2026-03-26 16:18:37.518	9m 9s	7m 41s	446.0%	2.3 GB	3.1 GB	51 GB	49.4 GB
14	a1/52fc8e	5933246	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR17866822)	COMPLETED	0	2026-03-26 16:18:55.085	9m 11s	8m 10s	455.0%	2.3 GB	3 GB	56.7 GB	54.9 GB
22	4c/ebe6d1	5933254	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR27320659)	COMPLETED	0	2026-03-26 16:19:23.085	9m 53s	9m 18s	459.8%	2.3 GB	3.1 GB	62.9 GB	60.8 GB
13	47/69e152	5933248	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR17866821)	COMPLETED	0	2026-03-26 16:19:03.085	10m 18s	9m 22s	457.5%	2.3 GB	3 GB	64.2 GB	62.2 GB
6	75/ab7a0d	5933231	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR17866817)	COMPLETED	0	2026-03-26 16:18:40.033	11m 16s	9m 58s	450.3%	2.3 GB	3 GB	67.9 GB	65.7 GB
9	e6/533c56	5933232	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR17866819)	COMPLETED	0	2026-03-26 16:18:45.034	11m 16s	10m	434.7%	2.3 GB	3.1 GB	65.2 GB	63.2 GB
12	1f/0820d7	5933233	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR17866820)	COMPLETED	0	2026-03-26 16:18:47.515	11m 14s	10m 4s	457.9%	2.3 GB	3 GB	71 GB	68.7 GB
18	21/5f583f	5933244	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR27320656)	COMPLETED	0	2026-03-26 16:18:51.128	11m 45s	10m 37s	461.4%	2.3 GB	3.1 GB	72.2 GB	69.9 GB
21	2d/e14e7d	5933376	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR27320658)	COMPLETED	0	2026-03-26 16:27:19.085	10m 17s	9m 49s	452.0%	2.3 GB	3.1 GB	65 GB	62.9 GB
43	7f/41fb94	5933381	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_SALMON (SRR27320655)	COMPLETED	0	2026-03-26 16:27:35.088	15m 36s	15m 28s	163.4%	19.1 GB	22.6 GB	21.4 GB	27.7 MB
40	c6/5800e3	5933379	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_SALMON (SRR27320660)	COMPLETED	0	2026-03-26 16:27:31.084	15m 55s	15m 41s	172.0%	19.1 GB	22.6 GB	21.4 GB	27.7 MB
45	b4/32c356	5933384	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_SALMON (SRR17866818)	COMPLETED	0	2026-03-26 16:27:47.104	15m 54s	14m 37s	193.0%	19.1 GB	22.6 GB	21.4 GB	27.7 MB
46	54/6d2da0	5933396	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_SALMON (SRR17866822)	COMPLETED	0	2026-03-26 16:28:06.078	15m 40s	14m 44s	201.7%	19.3 GB	22.6 GB	21.6 GB	27.7 MB
19	db/b804b8	5933383	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR27320657)	COMPLETED	0	2026-03-26 16:27:44.602	16m 6s	14m 43s	455.6%	2.3 GB	3.1 GB	100.5 GB	97.3 GB
49	31/4c9310	5933411	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_SALMON (SRR27320659)	COMPLETED	0	2026-03-26 16:29:19.089	14m 37s	13m 36s	225.1%	19.1 GB	22.6 GB	21.8 GB	27.8 MB
