task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	9e/448eb6	5924613	NFCORE_RNASPLICE:RNASPLICE:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_few_samples.csv)	COMPLETED	0	2026-03-26 08:13:00.015	55.4s	0ms	50.2%	16.9 MB	21.9 MB	2 MB	4 KB
2	23/ee00f7	5924616	NFCORE_RNASPLICE:RNASPLICE:CONTRASTS_CHECK:CONTRASTSHEET_CHECK (contrastsheet.csv)	COMPLETED	0	2026-03-26 08:13:08.030	49.1s	0ms	51.0%	15.8 MB	21 MB	2 MB	1.9 KB
1	b5/bb107e	5924611	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:GUNZIP_TRANSCRIPT_FASTA (genome.transcripts.fa.gz)	COMPLETED	0	2026-03-26 08:12:56.019	1m 4s	5.2s	90.1%	4.3 MB	7.2 MB	77.3 MB	879.5 MB
4	47/10bd23	5924610	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:GUNZIP_GTF (gencode.v49.primary_assembly.annotation.gtf.gz)	COMPLETED	0	2026-03-26 08:12:53.095	1m 22s	15.4s	91.0%	4.5 MB	7.2 MB	89.3 MB	3.1 GB
3	e9/1678d5	5924614	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:GUNZIP_FASTA (GRCh38.primary_assembly.genome.fa.gz)	COMPLETED	0	2026-03-26 08:13:04.012	1m 16s	23.2s	94.1%	4.4 MB	7.2 MB	806.6 MB	2.9 GB
12	9b/f8a239	5924650	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR27320655)	COMPLETED	0	2026-03-26 08:14:14.587	2m 31s	1m 24s	192.0%	1.3 GB	6.1 GB	1.6 GB	4.4 MB
18	d6/cd6ce0	5924656	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:PREPROCESS_TRANSCRIPTS_FASTA_GENCODE (genome.transcripts.fa)	COMPLETED	0	2026-03-26 08:14:42.586	2m 8s	3.4s	123.1%	8.7 MB	12.9 MB	1.7 GB	1.7 GB
27	d3/48dec0	5924659	NFCORE_RNASPLICE:RNASPLICE:EDGER_DEU:SUBREAD_FLATTENGTF (gencode.v49.primary_assembly.annotation.gtf)	COMPLETED	0	2026-03-26 08:14:54.589	2m 7s	18s	95.1%	156.5 MB	172.4 MB	3.1 GB	48.4 MB
11	c7/43fd48	5924646	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866822)	COMPLETED	0	2026-03-26 08:14:02.618	3m 13s	1m 53s	198.9%	1.5 GB	6 GB	1.7 GB	4.4 MB
13	52/ac9da4	5924653	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR27320656)	COMPLETED	0	2026-03-26 08:14:22.588	2m 53s	1m 57s	195.4%	1.1 GB	6 GB	2.3 GB	4.4 MB
15	99/1cf586	5924655	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR27320658)	COMPLETED	0	2026-03-26 08:14:30.588	2m 50s	2m	196.9%	1.1 GB	6.1 GB	2.1 GB	4.4 MB
7	9b/7ca363	5924649	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866818)	COMPLETED	0	2026-03-26 08:14:11.771	3m 14s	2m 3s	202.5%	1.6 GB	6 GB	1.6 GB	4.4 MB
9	f7/ff981c	5924652	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866820)	COMPLETED	0	2026-03-26 08:14:18.588	3m 12s	2m 8s	197.6%	1.1 GB	6 GB	2.1 GB	4.4 MB
6	1a/64769d	5924647	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866817)	COMPLETED	0	2026-03-26 08:14:07.192	3m 23s	2m 7s	199.3%	1.5 GB	6 GB	2.1 GB	4.4 MB
33	07/153c1a	5924661	NFCORE_RNASPLICE:RNASPLICE:TX2GENE_TXIMPORT_SALMON:GFFREAD_TX2GENE (gencode.v49.primary_assembly.annotation.gtf)	COMPLETED	0	2026-03-26 08:15:02.587	2m 38s	56s	99.9%	1.1 GB	1.1 GB	3.1 GB	44.3 MB
21	c2/80e573	5924660	NFCORE_RNASPLICE:RNASPLICE:TX2GENE_TXIMPORT_STAR_SALMON:GFFREAD_TX2GENE (gencode.v49.primary_assembly.annotation.gtf)	COMPLETED	0	2026-03-26 08:14:58.612	2m 47s	1m 1s	99.3%	1.1 GB	1.1 GB	3.1 GB	44.3 MB
8	46/c0fe90	5924637	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866819)	COMPLETED	0	2026-03-26 08:13:57.184	4m 38s	1m 48s	197.9%	1.2 GB	6 GB	2 GB	4.4 MB
19	1a/e5c9e2	5924663	NFCORE_RNASPLICE:RNASPLICE:SUPPA_SALMON:GENERATE_EVENTS_IOI (gencode.v49.primary_assembly.annotation.gtf)	COMPLETED	0	2026-03-26 08:15:10.585	3m 25s	1m 48s	91.3%	2.8 GB	3.1 GB	3.1 GB	436.2 MB
23	3c/542a50	5924688	NFCORE_RNASPLICE:RNASPLICE:SUPPA_STAR_SALMON:GENERATE_EVENTS_IOI (gencode.v49.primary_assembly.annotation.gtf)	COMPLETED	0	2026-03-26 08:15:30.776	3m 5s	1m 48s	91.0%	2.8 GB	3.1 GB	3.1 GB	436.2 MB
10	15/f9d6fe	5924638	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866821)	COMPLETED	0	2026-03-26 08:13:59.649	4m 41s	1m 53s	198.7%	1.4 GB	6 GB	2 GB	4.4 MB
14	63/aa2d0a	5924654	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR27320657)	COMPLETED	0	2026-03-26 08:14:26.588	4m 19s	3m 24s	195.6%	1.3 GB	6.1 GB	3.1 GB	4.4 MB
17	f8/1ca59d	5924722	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR27320660)	COMPLETED	0	2026-03-26 08:17:04.348	2m 51s	1m 44s	200.0%	1.5 GB	6 GB	1.5 GB	4.4 MB
16	39/004cbf	5924726	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR27320659)	COMPLETED	0	2026-03-26 08:17:54.598	2m 1s	1m 43s	199.2%	1.1 GB	6.1 GB	2 GB	4.4 MB
51	d8/a8f506	5924725	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (GRCh38.primary_assembly.genome.fa)	COMPLETED	0	2026-03-26 08:17:50.592	2m 5s	12s	94.5%	6 MB	12 MB	2.9 GB	15.8 KB
22	18/1faa25	5924658	NFCORE_RNASPLICE:RNASPLICE:SUPPA_SALMON:GENERATE_EVENTS_IOE (gencode.v49.primary_assembly.annotation.gtf)	COMPLETED	0	2026-03-26 08:14:50.588	6m 5s	4m 6s	96.1%	2.8 GB	3.1 GB	3.4 GB	1.7 GB
24	96/7139b3	5924657	NFCORE_RNASPLICE:RNASPLICE:SUPPA_STAR_SALMON:GENERATE_EVENTS_IOE (gencode.v49.primary_assembly.annotation.gtf)	COMPLETED	0	2026-03-26 08:14:46.585	6m 9s	4m 5s	95.7%	2.8 GB	3.1 GB	3.4 GB	1.7 GB
25	51/d6397d	5924691	NFCORE_RNASPLICE:RNASPLICE:DEXSEQ_DEU:DEXSEQ_ANNOTATION (gencode.v49.primary_assembly.annotation.gtf)	COMPLETED	0	2026-03-26 08:15:38.588	6m 52s	5m 39s	98.7%	2.1 GB	2.8 GB	3.1 GB	343.1 MB
36	59/180c95	5924692	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_SALMON (SRR27320655)	COMPLETED	0	2026-03-26 08:15:42.597	10m 33s	9m 25s	259.0%	19.1 GB	22.6 GB	21.6 GB	27.7 MB
28	f2/b7eb04	5924687	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_SALMON (SRR17866818)	COMPLETED	0	2026-03-26 08:15:28.308	11m 32s	10m 13s	283.7%	19.1 GB	22.6 GB	21.6 GB	27.7 MB
32	da/da4263	5924689	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_SALMON (SRR17866822)	COMPLETED	0	2026-03-26 08:15:35.779	11m 40s	10m 25s	302.9%	19.1 GB	22.6 GB	21.8 GB	27.7 MB
29	8d/3505da	5924662	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_SALMON (SRR17866819)	COMPLETED	0	2026-03-26 08:15:06.588	12m 39s	12m 25s	279.3%	19.1 GB	22.7 GB	22 GB	27.8 MB
20	cb/980dd3	5924665	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_SALMON (SRR17866817)	COMPLETED	0	2026-03-26 08:15:18.591	12m 27s	10m 59s	331.6%	19.4 GB	22.7 GB	22.1 GB	27.9 MB
31	22/3b0fc1	5924664	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_SALMON (SRR17866821)	COMPLETED	0	2026-03-26 08:15:15.769	12m 30s	10m 58s	330.8%	19.3 GB	22.7 GB	22 GB	27.8 MB
37	68/a23708	5924694	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_SALMON (SRR27320656)	COMPLETED	0	2026-03-26 08:15:50.591	12m 20s	11m 22s	339.9%	19.2 GB	22.7 GB	22.3 GB	27.8 MB
30	4d/24cc76	5924686	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_SALMON (SRR17866820)	COMPLETED	0	2026-03-26 08:15:23.300	13m 27s	12m 2s	332.0%	19.2 GB	22.6 GB	22.2 GB	27.8 MB
45	34/ef9933	5924697	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_SALMON (SRR27320658)	COMPLETED	0	2026-03-26 08:15:58.595	14m 57s	12m 42s	397.8%	19.2 GB	22.6 GB	22.1 GB	27.8 MB
39	98/e5103b	5924693	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_SALMON (SRR27320657)	COMPLETED	0	2026-03-26 08:15:46.586	16m 49s	15m 48s	419.1%	19.2 GB	22.6 GB	23.2 GB	27.8 MB
47	3b/a0b742	5924885	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_SALMON (SRR27320660)	COMPLETED	0	2026-03-26 08:27:02.597	7m 3s	6m 50s	425.5%	19.1 GB	22.6 GB	21.6 GB	27.7 MB
46	0a/55e4f3	5924884	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_SALMON (SRR27320659)	COMPLETED	0	2026-03-26 08:26:26.599	9m 59s	7m 39s	468.5%	19.1 GB	22.6 GB	22.1 GB	27.8 MB
52	00/81b8e2	5925071	NFCORE_RNASPLICE:RNASPLICE:TX2GENE_TXIMPORT_SALMON:TXIMPORT (gencode.v49.primary_assembly.annotation.tx2gene.tsv)	COMPLETED	0	2026-03-26 08:36:50.589	3m 27s	2m 42s	93.5%	1.6 GB	2.4 GB	1.3 GB	616.3 MB
55	e5/a6a365	5925145	NFCORE_RNASPLICE:RNASPLICE:SUPPA_SALMON:PSIPEREVENT (suppa_tpm.txt)	COMPLETED	0	2026-03-26 08:40:42.592	2m 18s	1m 16s	92.5%	2.8 GB	3.2 GB	372.2 MB	193 MB
54	89/e52fe5	5925146	NFCORE_RNASPLICE:RNASPLICE:SUPPA_SALMON:SPLIT_FILES_TPM (suppa_tpm.txt)	COMPLETED	0	2026-03-26 08:40:46.595	2m 39s	20s	90.9%	238.1 MB	339.4 MB	37.9 MB	55.6 MB
42	b1/be150c	5924724	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:STAR_ALIGN (SRR27320655)	COMPLETED	0	2026-03-26 08:17:22.591	26m 13s	25m 5s	196.5%	37.4 GB	39.1 GB	53.6 GB	9.7 GB
53	2d/eb9374	5925144	NFCORE_RNASPLICE:RNASPLICE:SUPPA_SALMON:PSIPERISOFORM (suppa_tpm.txt)	COMPLETED	0	2026-03-26 08:40:38.606	4m 27s	1m 53s	97.2%	3 GB	3.4 GB	3.2 GB	59.8 MB
41	a1/ddf1a5	5924700	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:STAR_ALIGN (SRR17866822)	COMPLETED	0	2026-03-26 08:16:46.781	28m 44s	26m 54s	205.6%	37.4 GB	39 GB	56.8 GB	11.3 GB
57	77/fe065f	5925210	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR27320655)	COMPLETED	0	2026-03-26 08:44:10.597	1m 25s	51s	452.7%	11.7 GB	35.7 GB	2.4 GB	1.2 GB
