task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	23/549bac	270379	NFCORE_RNASPLICE:RNASPLICE:CONTRASTS_CHECK:CONTRASTSHEET_CHECK (contrastsheet.csv)	COMPLETED	0	2026-04-22 08:16:43.394	8.4s	1s	36.9%	3.1 MB	9.6 MB	2 MB	552 B
1	d3/fa83bb	270382	NFCORE_RNASPLICE:RNASPLICE:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_rnasplice.csv)	COMPLETED	0	2026-04-22 08:16:44.712	7.2s	1s	66.4%	18.3 MB	23.2 MB	2 MB	15.5 KB
4	6a/3faa8c	270378	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:GUNZIP_TRANSCRIPT_FASTA (gencode.v49.transcripts.fa.gz)	COMPLETED	0	2026-04-22 08:16:42.851	14s	7.1s	91.8%	4.3 MB	7.2 MB	135 MB	971.6 MB
123	ec/136cc9	270403	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:PREPROCESS_TRANSCRIPTS_FASTA_GENCODE (gencode.v49.transcripts.fa)	COMPLETED	0	2026-04-22 08:17:13.512	8.4s	4.5s	115.4%	5 MB	9.4 MB	1.9 GB	1.9 GB
5	fe/b0982f	270381	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:GUNZIP_GTF (gencode.v49.primary_assembly.annotation.gtf.gz)	COMPLETED	0	2026-04-22 08:16:44.357	1m 3s	33.9s	95.4%	4.5 MB	7.2 MB	89.3 MB	3.1 GB
3	31/6f2845	270380	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:GUNZIP_FASTA (GRCh38.primary_assembly.genome.fa.gz)	COMPLETED	0	2026-04-22 08:16:43.689	1m 23s	51s	94.1%	4.4 MB	7.2 MB	806.6 MB	2.9 GB
11	ed/0a0616	270393	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866818)	COMPLETED	0	2026-04-22 08:17:06.814	1m 5s	1m 1s	189.5%	1020.9 MB	6 GB	1.6 GB	4.4 MB
20	ae/3ed9c0	270396	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866822)	COMPLETED	0	2026-04-22 08:17:09.073	1m 8s	1m 4s	189.4%	1009.1 MB	6 GB	1.7 GB	4.4 MB
19	65/8b9603	270392	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866821)	COMPLETED	0	2026-04-22 08:17:06.311	1m 21s	1m 14s	191.7%	1 GB	6 GB	2 GB	4.4 MB
180	55/3b1733	270406	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (GRCh38.primary_assembly.genome.fa)	COMPLETED	0	2026-04-22 08:18:08.205	28.7s	20s	69.6%	4.6 MB	12 MB	2.9 GB	14.3 KB
