sample,fastq_1,fastq_2,strandedness,condition
SRR17866817,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866817_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866817_2.fastq.gz,reverse,tumor_eocrc
SRR17866818,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866818_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866818_2.fastq.gz,reverse,normal_eocrc
SRR17866819,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866819_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866819_2.fastq.gz,reverse,tumor_eocrc
SRR17866820,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866820_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866820_2.fastq.gz,reverse,normal_eocrc
SRR17866821,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866821_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866821_2.fastq.gz,reverse,tumor_eocrc
SRR17866822,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866822_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866822_2.fastq.gz,reverse,normal_eocrc
SRR17866823,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866823_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866823_2.fastq.gz,reverse,tumor_eocrc
SRR17866824,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866824_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866824_2.fastq.gz,reverse,normal_eocrc
SRR17866825,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866825_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866825_2.fastq.gz,reverse,tumor_eocrc
SRR17866826,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866826_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866826_2.fastq.gz,reverse,normal_eocrc
SRR17866827,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866827_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866827_2.fastq.gz,reverse,tumor_eocrc
SRR17866828,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866828_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866828_2.fastq.gz,reverse,normal_eocrc
SRR17866829,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866829_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866829_2.fastq.gz,reverse,tumor_eocrc
SRR17866830,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866830_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866830_2.fastq.gz,reverse,normal_eocrc
SRR17866831,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866831_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866831_2.fastq.gz,reverse,tumor_eocrc
SRR17866832,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866832_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866832_2.fastq.gz,reverse,normal_eocrc
SRR17866833,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866833_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866833_2.fastq.gz,reverse,tumor_eocrc
SRR17866834,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866834_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866834_2.fastq.gz,reverse,normal_eocrc
SRR17866835,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866835_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866835_2.fastq.gz,reverse,tumor_eocrc
SRR17866836,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866836_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866836_2.fastq.gz,reverse,normal_eocrc
SRR17866837,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866837_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866837_2.fastq.gz,reverse,tumor_eocrc
SRR17866838,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866838_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866838_2.fastq.gz,reverse,normal_eocrc
SRR17866839,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866839_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866839_2.fastq.gz,reverse,tumor_eocrc
SRR17866840,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866840_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866840_2.fastq.gz,reverse,normal_eocrc
SRR17866841,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866841_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866841_2.fastq.gz,reverse,tumor_eocrc
SRR17866842,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866842_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866842_2.fastq.gz,reverse,normal_eocrc
SRR17866843,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866843_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866843_2.fastq.gz,reverse,tumor_eocrc
SRR17866844,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866844_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866844_2.fastq.gz,reverse,normal_eocrc
SRR17866845,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866845_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866845_2.fastq.gz,reverse,tumor_eocrc
