Sample	Assigned	Unassigned: Singleton	Unassigned: Multi Mapping	Unassigned: No Features
SRR17866817_sorted	23088650.0	3511.0	7955132.0	1122434.0
SRR17866818_sorted	18201742.0	2651.0	4924090.0	668729.0
SRR17866819_sorted	22613130.0	3256.0	9968574.0	1064924.0
SRR17866820_sorted	24153286.0	3744.0	15030046.0	766055.0
SRR17866821_sorted	22441950.0	2911.0	9510862.0	458862.0
SRR17866822_sorted	20160283.0	2722.0	6317972.0	617012.0
SRR27320655_sorted	16891916.0	2252.0	3976681.0	969501.0
SRR27320656_sorted	25433000.0	3046.0	5976655.0	929618.0
SRR27320657_sorted	34601332.0	4299.0	9383003.0	1430787.0
SRR27320658_sorted	21932318.0	3244.0	7534489.0	854990.0
SRR27320659_sorted	21442375.0	3082.0	6286533.0	1079410.0
SRR27320660_sorted	16658427.0	2104.0	4141940.0	928418.0
