Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRR17866817_1	3.4	27939715	12661880	27939715	1580018973	880168	1561106564	1.1969735378614343
SRR17866817_2	3.4	27939715	13886734	27939715	1579254555	2244625	1556582068	1.435644869803779
SRR17866818_1	3.4	20987775	9339118	20987775	1186834036	670782	1172684665	1.1921945757207792
SRR17866818_2	3.4	20987775	10663407	20987775	1186493077	1851937	1168556662	1.5117167851793543
SRR17866819_1	3.4	26852674	12907350	26852674	1518821387	846803	1500058132	1.2353825907772789
SRR17866819_2	3.4	26852674	13391339	26852674	1517924750	1956276	1496676908	1.399795477344974
SRR17866820_1	3.4	29231590	13046034	29231590	1653244879	892725	1634052680	1.1608805957172423
SRR17866820_2	3.4	29231590	14964375	29231590	1652682408	2204523	1628510836	1.4625660612707387
SRR17866821_1	3.4	26375475	12116226	26375475	1491729097	1300113	1473537221	1.2195160660595468
SRR17866821_2	3.4	26375475	13080886	26375475	1490757451	1319343	1470378041	1.3670506886502223
SRR17866822_1	3.4	23302304	10246441	23302304	1317685428	1017695	1302302660	1.1674082199837457
SRR17866822_2	3.4	23302304	11925533	23302304	1317510505	1361358	1298610478	1.4345257156033075
SRR27320655_1	3.4	19682654	8657257	19682654	1152208792	994288	1138568537	1.1838353512581077
SRR27320655_2	3.4	19682654	9819252	19682654	1152133047	2027702	1135270653	1.4635804470592535
SRR27320656_1	3.4	29033307	13063869	29033307	1699796054	1254668	1679924868	1.1690335410085615
SRR27320656_2	3.4	29033307	14143929	29033307	1699071453	2650312	1675117270	1.4098396484565032
SRR27320657_1	3.4	40481828	16922285	40481828	2369710894	1685753	2343934442	1.0877466979311612
SRR27320657_2	3.4	40481828	20790022	40481828	2369968708	4150925	2333998603	1.5177459887373332
SRR27320658_1	3.4	26113419	12063765	26113419	1529004008	1179358	1510583682	1.204727123252904
SRR27320658_2	3.4	26113419	13130196	26113419	1528346896	2789282	1506293015	1.44298922304351
SRR27320659_1	3.4	25243110	10997654	25243110	1477705400	1305921	1460416929	1.1699538351825742
SRR27320659_2	3.4	25243110	12624734	25243110	1477791632	2720234	1455455728	1.511437980588051
SRR27320660_1	3.4	19401821	8708724	19401821	1135944955	840083	1122723455	1.1639208345267047
SRR27320660_2	3.4	19401821	9541453	19401821	1135553381	1717041	1119409208	1.421700931908898
