Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRR17866817_sorted	32169727	23088650	0	0	3511	0	0	0	0	7955132	0	0	1122434	0	0	71.77135820891486
SRR17866818_sorted	23797212	18201742	0	0	2651	0	0	0	0	4924090	0	0	668729	0	0	76.48686745321258
SRR17866819_sorted	33649884	22613130	0	0	3256	0	0	0	0	9968574	0	0	1064924	0	0	67.20121234296083
SRR17866820_sorted	39953131	24153286	0	0	3744	0	0	0	0	15030046	0	0	766055	0	0	60.454050522348304
SRR17866821_sorted	32414585	22441950	0	0	2911	0	0	0	0	9510862	0	0	458862	0	0	69.23411174321683
SRR17866822_sorted	27097989	20160283	0	0	2722	0	0	0	0	6317972	0	0	617012	0	0	74.39770899604396
SRR27320655_sorted	21840350	16891916	0	0	2252	0	0	0	0	3976681	0	0	969501	0	0	77.34269826261941
SRR27320656_sorted	32342319	25433000	0	0	3046	0	0	0	0	5976655	0	0	929618	0	0	78.63690912207007
SRR27320657_sorted	45419421	34601332	0	0	4299	0	0	0	0	9383003	0	0	1430787	0	0	76.18179897097323
SRR27320658_sorted	30325041	21932318	0	0	3244	0	0	0	0	7534489	0	0	854990	0	0	72.32411656096359
SRR27320659_sorted	28811400	21442375	0	0	3082	0	0	0	0	6286533	0	0	1079410	0	0	74.42323177631076
SRR27320660_sorted	21730889	16658427	0	0	2104	0	0	0	0	4141940	0	0	928418	0	0	76.6578256416477
