Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
SRR17866817	1.10.1	none	vb	[]	1	['ISR']	1001	169.03773588115314	60.55660108897165	False	False	4096	mapping	False	508163	194	926970	False	['range_factorized', 'gzipped']	[578, 896, 1576, 2798, 109488]	980cce8070743e14a2dfe9e33f54b08ea5814ff2696cce0ced7ec7be66a96e6c	ccb4ac6446cb5c615e61ac045e60debb97e709fc698e823eb8ea4c26bf086300	ff62c64d51fa7af64182838a7e817498a255be1c1e4f01d4017f3b8deaba87735e43c77bb1e5bbd9854f0adc1e99efeda324b08f1a2ae859141679daa58fe354	e6d7e9104f35bf4e0981df6c379cc66f475fc8fba829690e95539d9a766d79a3e5f46ab1c11f5341208fd037bd39bebe285f6f9dd4f4486d0731f3f9c22f686f	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	27904574	25725800	669873	69913	788316	14687434	92.19205424888408	quant	Mon Mar 23 11:16:03 2026	Mon Mar 23 11:23:27 2026
SRR17866818	1.10.1	none	vb	[]	1	['ISR']	1001	166.80858805367188	62.61072658169209	False	False	4096	mapping	False	508163	194	660820	False	['range_factorized', 'gzipped']	[578, 896, 1576, 2798, 109488]	980cce8070743e14a2dfe9e33f54b08ea5814ff2696cce0ced7ec7be66a96e6c	ccb4ac6446cb5c615e61ac045e60debb97e709fc698e823eb8ea4c26bf086300	ff62c64d51fa7af64182838a7e817498a255be1c1e4f01d4017f3b8deaba87735e43c77bb1e5bbd9854f0adc1e99efeda324b08f1a2ae859141679daa58fe354	e6d7e9104f35bf4e0981df6c379cc66f475fc8fba829690e95539d9a766d79a3e5f46ab1c11f5341208fd037bd39bebe285f6f9dd4f4486d0731f3f9c22f686f	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	20953925	19591763	434844	75671	502603	9679118	93.4992513335807	quant	Mon Mar 23 11:09:07 2026	Mon Mar 23 11:15:32 2026
SRR17866819	1.10.1	none	vb	[]	1	['ISR']	1001	171.10931191021766	61.46424744368536	False	False	4096	mapping	False	508163	194	798165	False	['range_factorized', 'gzipped']	[578, 896, 1576, 2798, 109488]	980cce8070743e14a2dfe9e33f54b08ea5814ff2696cce0ced7ec7be66a96e6c	ccb4ac6446cb5c615e61ac045e60debb97e709fc698e823eb8ea4c26bf086300	ff62c64d51fa7af64182838a7e817498a255be1c1e4f01d4017f3b8deaba87735e43c77bb1e5bbd9854f0adc1e99efeda324b08f1a2ae859141679daa58fe354	e6d7e9104f35bf4e0981df6c379cc66f475fc8fba829690e95539d9a766d79a3e5f46ab1c11f5341208fd037bd39bebe285f6f9dd4f4486d0731f3f9c22f686f	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	26828406	24545590	547980	137189	664372	14963192	91.49104870412353	quant	Mon Mar 23 11:09:05 2026	Mon Mar 23 11:16:35 2026
SRR17866820	1.10.1	none	vb	[]	1	['ISR']	1001	171.5881056916848	61.010566076880366	False	False	4096	mapping	False	508163	194	780303	False	['range_factorized', 'gzipped']	[578, 896, 1576, 2798, 109488]	980cce8070743e14a2dfe9e33f54b08ea5814ff2696cce0ced7ec7be66a96e6c	ccb4ac6446cb5c615e61ac045e60debb97e709fc698e823eb8ea4c26bf086300	ff62c64d51fa7af64182838a7e817498a255be1c1e4f01d4017f3b8deaba87735e43c77bb1e5bbd9854f0adc1e99efeda324b08f1a2ae859141679daa58fe354	e6d7e9104f35bf4e0981df6c379cc66f475fc8fba829690e95539d9a766d79a3e5f46ab1c11f5341208fd037bd39bebe285f6f9dd4f4486d0731f3f9c22f686f	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	29195977	26413135	739278	86802	903086	13318117	90.4684059725078	quant	Mon Mar 23 11:33:24 2026	Mon Mar 23 12:17:05 2026
SRR17866821	1.10.1	none	vb	[]	1	['ISR']	1001	168.61293467708126	60.46104604105401	False	False	4096	mapping	False	508163	194	817066	False	['range_factorized', 'gzipped']	[578, 896, 1576, 2798, 109488]	980cce8070743e14a2dfe9e33f54b08ea5814ff2696cce0ced7ec7be66a96e6c	ccb4ac6446cb5c615e61ac045e60debb97e709fc698e823eb8ea4c26bf086300	ff62c64d51fa7af64182838a7e817498a255be1c1e4f01d4017f3b8deaba87735e43c77bb1e5bbd9854f0adc1e99efeda324b08f1a2ae859141679daa58fe354	e6d7e9104f35bf4e0981df6c379cc66f475fc8fba829690e95539d9a766d79a3e5f46ab1c11f5341208fd037bd39bebe285f6f9dd4f4486d0731f3f9c22f686f	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	26347260	24886641	423460	64582	520930	16741575	94.45627742695066	quant	Mon Mar 23 11:16:03 2026	Mon Mar 23 11:46:55 2026
SRR17866822	1.10.1	none	vb	[]	1	['ISR']	1001	168.132229334246	60.52065505278466	False	False	4096	mapping	False	508163	194	673100	False	['range_factorized', 'gzipped']	[578, 896, 1576, 2798, 109488]	980cce8070743e14a2dfe9e33f54b08ea5814ff2696cce0ced7ec7be66a96e6c	ccb4ac6446cb5c615e61ac045e60debb97e709fc698e823eb8ea4c26bf086300	ff62c64d51fa7af64182838a7e817498a255be1c1e4f01d4017f3b8deaba87735e43c77bb1e5bbd9854f0adc1e99efeda324b08f1a2ae859141679daa58fe354	e6d7e9104f35bf4e0981df6c379cc66f475fc8fba829690e95539d9a766d79a3e5f46ab1c11f5341208fd037bd39bebe285f6f9dd4f4486d0731f3f9c22f686f	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	23274755	21796632	545951	97512	617334	10310749	93.64924356883671	quant	Mon Mar 23 11:16:03 2026	Mon Mar 23 11:46:42 2026
SRR27320655	1.10.1	none	vb	[]	1	['ISR']	1001	163.4079113158971	59.559958546108355	False	False	4096	mapping	False	508163	194	656438	False	['range_factorized', 'gzipped']	[578, 896, 1576, 2798, 109488]	980cce8070743e14a2dfe9e33f54b08ea5814ff2696cce0ced7ec7be66a96e6c	ccb4ac6446cb5c615e61ac045e60debb97e709fc698e823eb8ea4c26bf086300	ff62c64d51fa7af64182838a7e817498a255be1c1e4f01d4017f3b8deaba87735e43c77bb1e5bbd9854f0adc1e99efeda324b08f1a2ae859141679daa58fe354	e6d7e9104f35bf4e0981df6c379cc66f475fc8fba829690e95539d9a766d79a3e5f46ab1c11f5341208fd037bd39bebe285f6f9dd4f4486d0731f3f9c22f686f	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	19657517	17992528	517006	145842	600187	8299802	91.53001368382385	quant	Mon Mar 23 11:09:08 2026	Mon Mar 23 11:15:50 2026
SRR27320656	1.10.1	none	vb	[]	1	['ISR']	1001	158.24138412619303	53.826286153926986	False	False	4096	mapping	False	508163	194	825798	False	['range_factorized', 'gzipped']	[578, 896, 1576, 2798, 109488]	980cce8070743e14a2dfe9e33f54b08ea5814ff2696cce0ced7ec7be66a96e6c	ccb4ac6446cb5c615e61ac045e60debb97e709fc698e823eb8ea4c26bf086300	ff62c64d51fa7af64182838a7e817498a255be1c1e4f01d4017f3b8deaba87735e43c77bb1e5bbd9854f0adc1e99efeda324b08f1a2ae859141679daa58fe354	e6d7e9104f35bf4e0981df6c379cc66f475fc8fba829690e95539d9a766d79a3e5f46ab1c11f5341208fd037bd39bebe285f6f9dd4f4486d0731f3f9c22f686f	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	28998475	27188759	619432	96349	724299	14993436	93.75927182377694	quant	Mon Mar 23 11:47:31 2026	Mon Mar 23 12:36:16 2026
SRR27320657	1.10.1	none	vb	[]	1	['ISR']	1001	171.32310953444502	59.4123236753862	False	False	4096	mapping	False	508163	194	797478	False	['range_factorized', 'gzipped']	[578, 896, 1576, 2798, 109488]	980cce8070743e14a2dfe9e33f54b08ea5814ff2696cce0ced7ec7be66a96e6c	ccb4ac6446cb5c615e61ac045e60debb97e709fc698e823eb8ea4c26bf086300	ff62c64d51fa7af64182838a7e817498a255be1c1e4f01d4017f3b8deaba87735e43c77bb1e5bbd9854f0adc1e99efeda324b08f1a2ae859141679daa58fe354	e6d7e9104f35bf4e0981df6c379cc66f475fc8fba829690e95539d9a766d79a3e5f46ab1c11f5341208fd037bd39bebe285f6f9dd4f4486d0731f3f9c22f686f	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	40422836	37164931	1262426	152218	1496279	14499724	91.94043436239852	quant	Mon Mar 23 11:37:06 2026	Mon Mar 23 11:45:28 2026
SRR27320658	1.10.1	none	vb	[]	1	['ISR']	1001	174.78847201073438	61.63451776281491	False	False	4096	mapping	False	508163	194	831932	False	['range_factorized', 'gzipped']	[578, 896, 1576, 2798, 109488]	980cce8070743e14a2dfe9e33f54b08ea5814ff2696cce0ced7ec7be66a96e6c	ccb4ac6446cb5c615e61ac045e60debb97e709fc698e823eb8ea4c26bf086300	ff62c64d51fa7af64182838a7e817498a255be1c1e4f01d4017f3b8deaba87735e43c77bb1e5bbd9854f0adc1e99efeda324b08f1a2ae859141679daa58fe354	e6d7e9104f35bf4e0981df6c379cc66f475fc8fba829690e95539d9a766d79a3e5f46ab1c11f5341208fd037bd39bebe285f6f9dd4f4486d0731f3f9c22f686f	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	26085062	24051930	578956	117881	821133	12533234	92.2057612897374	quant	Mon Mar 23 12:02:13 2026	Mon Mar 23 12:56:33 2026
