Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
SRR17866817	27904574.0	111.0	24213182.0	86.77	109.94	9492031.0	9483894.0	9377795.0	99590.0	7297.0	7349.0	0.25	0.0	1.43	0.0	1.32	2677161.0	9.59	3946.0	0.01	0.0	3.59	0.03	0	1001912	8373
SRR17866818	20953925.0	111.0	18872077.0	90.06	109.91	7054610.0	7049193.0	6976408.0	67689.0	4994.0	5519.0	0.27	0.0	1.33	0.0	1.31	1712985.0	8.18	2426.0	0.01	0.0	1.73	0.02	0	362249	4188
SRR17866819	26828406.0	111.0	23679878.0	88.26	109.9	10258678.0	10244736.0	10149123.0	90576.0	5850.0	13129.0	0.25	0.01	1.72	0.0	1.46	2628196.0	9.8	6979.0	0.03	0.0	1.86	0.05	0	499914	13439
SRR17866820	29195977.0	111.0	24921205.0	85.36	109.91	9045278.0	9035623.0	8945945.0	84046.0	6206.0	9081.0	0.25	0.0	1.45	0.0	1.33	3654075.0	12.52	7755.0	0.03	0.0	2.06	0.04	0	601267	11675
SRR17866821	26347260.0	111.0	22902329.0	86.92	109.97	10693543.0	10682821.0	10578590.0	97101.0	8229.0	9623.0	0.25	0.0	1.73	0.0	1.33	2853840.0	10.83	3140.0	0.01	0.0	2.22	0.02	0	582701	5250
SRR17866822	23274755.0	111.0	20778888.0	89.28	109.97	7186431.0	7181049.0	7101968.0	74347.0	4657.0	5459.0	0.25	0.01	1.35	0.0	1.35	2078283.0	8.93	3461.0	0.01	0.0	1.76	0.02	0	409470	4653
SRR27320655	19657517.0	115.0	17862904.0	90.87	113.77	5920420.0	5914530.0	5842158.0	68670.0	3858.0	5734.0	0.33	0.01	1.52	0.0	1.35	1401649.0	7.13	5605.0	0.03	0.0	1.93	0.04	0	379494	7865
SRR27320656	28998475.0	115.0	26364549.0	90.92	113.82	10514283.0	10506049.0	10383993.0	112896.0	9599.0	7795.0	0.27	0.01	1.77	0.0	1.36	2160880.0	7.45	3072.0	0.01	0.0	1.6	0.02	0	464172	5802
SRR27320657	40422836.0	115.0	36034925.0	89.14	113.84	10057410.0	10045907.0	9844863.0	192769.0	8880.0	10898.0	0.31	0.01	1.33	0.0	1.35	3501887.0	8.66	5890.0	0.01	0.0	2.14	0.04	0	863985	16149
SRR27320658	26085062.0	115.0	22789439.0	87.37	113.69	8820283.0	8807957.0	8700878.0	91574.0	16605.0	11226.0	0.39	0.01	1.67	0.0	1.37	2498740.0	9.58	7943.0	0.03	0.0	2.89	0.14	0	752487	36453
SRR27320659	25203151.0	115.0	22523777.0	89.37	113.77	5994742.0	5986961.0	5911564.0	72319.0	3898.0	6961.0	0.34	0.01	1.47	0.0	1.39	2128948.0	8.45	4760.0	0.02	0.0	2.14	0.03	0	538122	7544
SRR27320660	19377586.0	115.0	17588154.0	90.77	113.86	6792401.0	6786269.0	6711530.0	69410.0	5412.0	6049.0	0.27	0.01	1.66	0.0	1.38	1506697.0	7.78	2407.0	0.01	0.0	1.44	0.01	0	278395	1933
