task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	82/369edf	5840330	NFCORE_RNASPLICE:RNASPLICE:CONTRASTS_CHECK:CONTRASTSHEET_CHECK (contrastsheet.csv)	COMPLETED	0	2026-03-23 10:41:51.723	52.9s	0ms	48.3%	16.6 MB	21.7 MB	2 MB	1.8 KB
2	a9/206d48	5840333	NFCORE_RNASPLICE:RNASPLICE:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_few_samples.csv)	COMPLETED	0	2026-03-23 10:41:51.800	52.9s	0ms	49.5%	16.8 MB	21.9 MB	2 MB	3.9 KB
4	d2/4d049f	5840332	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:GUNZIP_GTF (gencode.v49.primary_assembly.annotation.gtf.gz)	COMPLETED	0	2026-03-23 10:41:51.777	1m 13s	13.5s	93.8%	4.4 MB	7.2 MB	89.3 MB	3.1 GB
1	e3/468479	5840331	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:GUNZIP_FASTA (GRCh38.primary_assembly.genome.fa.gz)	COMPLETED	0	2026-03-23 10:41:51.753	1m 28s	25.8s	83.3%	4.4 MB	7.2 MB	806.6 MB	2.9 GB
39	6e/73863b	5840372	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (GRCh38.primary_assembly.genome.fa)	COMPLETED	0	2026-03-23 10:43:19.978	1m 55s	11s	95.8%	4.7 MB	12 MB	2.9 GB	15.8 KB
33	74/6e1658	5840370	NFCORE_RNASPLICE:RNASPLICE:EDGER_DEU:SUBREAD_FLATTENGTF (gencode.v49.primary_assembly.annotation.gtf)	COMPLETED	0	2026-03-23 10:43:12.330	2m 7s	15s	97.1%	180.5 MB	196.6 MB	3.1 GB	48.4 MB
18	ef/583edc	5840345	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR27320655)	COMPLETED	0	2026-03-23 10:42:45.057	2m 40s	1m 28s	187.6%	1.3 GB	6.1 GB	1.6 GB	4.4 MB
38	10/1e5e94	5840371	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:GTF_GENE_FILTER (GRCh38.primary_assembly.genome.fa)	COMPLETED	0	2026-03-23 10:43:19.739	2m 20s	23s	92.0%	3.8 GB	3.8 GB	6 GB	3.1 GB
6	4b/8a29e5	5840346	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR17866817)	COMPLETED	0	2026-03-23 10:42:45.076	3m 10s	1m 58s	193.5%	1.3 GB	6 GB	2.1 GB	4.4 MB
32	7f/9e2c1a	5840367	NFCORE_RNASPLICE:RNASPLICE:TX2GENE_TXIMPORT_STAR_SALMON:GFFREAD_TX2GENE (gencode.v49.primary_assembly.annotation.gtf)	COMPLETED	0	2026-03-23 10:43:05.977	2m 54s	54s	100.0%	1.1 GB	1.1 GB	3.1 GB	44.3 MB
