task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	17/0302f1	167622	NFCORE_RNASEQ:PREPARE_GENOME:GUNZIP_GTF (Homo_sapiens.GRCh38.115.gtf.gz)	COMPLETED	0	2025-10-17 10:44:42.178	26.5s	18.8s	80.1%	5 MB	8.1 MB	99.7 MB	3.1 GB
2	90/8f162a	167621	NFCORE_RNASEQ:PREPARE_GENOME:GUNZIP_FASTA (Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz)	COMPLETED	0	2025-10-17 10:44:41.931	46.8s	37.1s	81.9%	5 MB	8.1 MB	841.2 MB	2.9 GB
5	8e/1ac64e	167625	NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (Homo_sapiens.GRCh38.dna.primary_assembly.fa)	COMPLETED	0	2025-10-17 10:45:29.428	14.3s	10s	79.7%	12.5 MB	41.5 MB	2.9 GB	14.1 KB
4	ea/7c2565	167626	NFCORE_RNASEQ:PREPARE_GENOME:GTF_FILTER (Homo_sapiens.GRCh38.dna.primary_assembly.fa)	COMPLETED	0	2025-10-17 10:45:29.615	1m 4s	57s	90.8%	19.4 MB	24.1 MB	6 GB	3.1 GB
3	d2/b83257	167623	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (srr27320663_sigmoid_control)	COMPLETED	0	2025-10-17 10:44:42.647	2m 46s	2m 39s	75.8%	219 MB	222.4 MB	4.6 GB	1.9 KB
7	43/367d2d	167627	NFCORE_RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/Homo_sapiens.GRCh38.dna.primary_assembly.fa)	COMPLETED	0	2025-10-17 10:46:34.014	2m	1m 44s	92.3%	2.9 GB	3.1 GB	6.8 GB	3.8 GB
6	4a/ee376b	167628	NFCORE_RNASEQ:PREPARE_GENOME:GTF2BED (Homo_sapiens.GRCh38.115.filtered.gtf)	COMPLETED	0	2025-10-17 10:46:34.358	2m 19s	2m 8s	98.4%	7.9 GB	7.9 GB	3.1 GB	63.2 MB
9	a2/a584af	167629	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (srr27320663_sigmoid_control)	COMPLETED	0	2025-10-17 10:47:29.508	3m 34s	3m 29s	189.6%	6.1 GB	40.3 GB	3.1 GB	4.4 MB
8	16/6f40e1	167630	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (srr27320663_sigmoid_control)	COMPLETED	0	2025-10-17 10:47:29.882	39m 19s	39m 10s	157.5%	735.8 MB	5 GB	65.3 GB	62.2 GB
10	e0/faa8d2	167645	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (srr27320663_sigmoid_control)	COMPLETED	0	2025-10-17 11:26:49.998	3m 24s	3m 16s	95.6%	219 MB	222.4 MB	4 GB	1.9 KB
