task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
10	c1/de7ae4	160677	FASTQC (5)	COMPLETED	0	2025-09-28 20:59:47.033	41.6s	35.6s	81.0%	193 MB	3.3 GB	214 MB	2.3 MB
7	33/8d4ed1	160678	TRIM_GALORE (5)	COMPLETED	0	2025-09-28 20:59:47.764	50.9s	44.9s	430.0%	330.7 MB	3.4 GB	3.8 GB	3.6 GB
9	a0/4ca40a	160675	FASTQC (4)	COMPLETED	0	2025-09-28 20:59:44.961	2m 9s	2m 3s	97.7%	283.3 MB	3.4 GB	1.3 GB	2.1 MB
21	11/b2d73f	160689	HISAT2_ALIGN (1)	COMPLETED	0	2025-09-28 21:00:38.920	1m 35s	1m 33s	481.6%	5.9 GB	10 GB	12.4 GB	10.5 GB
6	72/31996a	160674	TRIM_GALORE (4)	COMPLETED	0	2025-09-28 20:59:43.954	4m 35s	4m 27s	475.3%	391.5 MB	3.4 GB	22.8 GB	21.4 GB
12	73/368608	160683	FASTQC (7)	COMPLETED	0	2025-09-28 20:59:52.928	5m 36s	5m 33s	99.6%	261.6 MB	3.3 GB	2.4 GB	2.1 MB
2	eb/e8fd45	160672	FASTQC (1)	COMPLETED	0	2025-09-28 20:59:41.891	5m 57s	5m 51s	96.6%	272.7 MB	3.3 GB	3.5 GB	2.1 MB
11	36/9929da	160679	FASTQC (6)	COMPLETED	0	2025-09-28 20:59:49.042	6m 25s	6m 23s	97.5%	230.7 MB	3.3 GB	3.5 GB	2.1 MB
14	35/59bc08	160681	FASTQC (8)	COMPLETED	0	2025-09-28 20:59:51.033	7m 58s	7m 55s	80.2%	252.2 MB	3.3 GB	2.5 GB	2.1 MB
15	96/7e1abd	160688	FASTQC (9)	COMPLETED	0	2025-09-28 20:59:57.917	8m 1s	7m 56s	80.6%	215.2 MB	3.3 GB	2.6 GB	2.1 MB
3	a7/15a746	160669	FASTQC (2)	COMPLETED	0	2025-09-28 20:59:39.712	8m 44s	8m 38s	99.5%	246.3 MB	3.3 GB	3.5 GB	2.1 MB
8	82/59c2ba	160670	FASTQC (3)	COMPLETED	0	2025-09-28 20:59:40.111	10m 9s	10m 5s	68.3%	221.6 MB	3.3 GB	3.7 GB	2.1 MB
22	e4/7e124d	160690	HISAT2_ALIGN (2)	COMPLETED	0	2025-09-28 21:04:19.195	6m 15s	6m 6s	690.0%	9.4 GB	23.6 GB	35 GB	30.7 GB
16	ba/7e70e7	160680	TRIM_GALORE (7)	COMPLETED	0	2025-09-28 20:59:49.948	10m 44s	10m 37s	439.4%	361.8 MB	3.4 GB	49.2 GB	46.8 GB
18	ed/56e9d0	160687	TRIM_GALORE (9)	COMPLETED	0	2025-09-28 20:59:57.163	11m 57s	11m 49s	454.5%	364.9 MB	3.4 GB	53.4 GB	50.8 GB
4	33/43f38c	160673	TRIM_GALORE (2)	COMPLETED	0	2025-09-28 20:59:43.291	12m 10s	12m 4s	479.2%	367.2 MB	3.4 GB	64.9 GB	61.3 GB
17	3c/866301	160682	TRIM_GALORE (8)	COMPLETED	0	2025-09-28 20:59:51.904	12m 7s	11m 59s	432.8%	381.6 MB	3.4 GB	52 GB	49.4 GB
1	43/4b904a	160676	TRIM_GALORE (1)	COMPLETED	0	2025-09-28 20:59:45.949	12m 28s	12m 18s	460.2%	373.9 MB	3.4 GB	68.8 GB	65.3 GB
