task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
6	b5/ff1e3e	159806	FASTQC (3)	COMPLETED	0	2025-09-25 13:55:49.371	9s	6.9s	112.6%	233.1 MB	3.3 GB	12.1 MB	2 MB
12	e9/10c201	159812	FASTQC (6)	COMPLETED	0	2025-09-25 13:55:50.415	8s	5.8s	143.8%	198.3 MB	3.3 GB	12.2 MB	2 MB
8	8c/144a34	159809	FASTQC (4)	COMPLETED	0	2025-09-25 13:55:50.025	8.4s	6s	92.1%	208.7 MB	3.3 GB	11.5 MB	1.9 MB
10	88/07ea96	159814	FASTQC (5)	COMPLETED	0	2025-09-25 13:55:50.559	7.9s	5.7s	127.1%	209.5 MB	3.4 GB	12.4 MB	2 MB
4	2b/26d65d	159816	FASTQC (2)	COMPLETED	0	2025-09-25 13:55:50.866	7.6s	5.8s	108.5%	201.8 MB	3.3 GB	11.2 MB	2 MB
2	c2/48698b	159808	TRIM_GALORE (1)	COMPLETED	0	2025-09-25 13:55:49.706	8.7s	6.7s	106.1%	228.9 MB	3.3 GB	50.3 MB	29 MB
1	b7/fde131	159810	FASTQC (1)	COMPLETED	0	2025-09-25 13:55:50.231	8.2s	4.8s	130.8%	242 MB	3.3 GB	11.8 MB	2 MB
3	7f/cfa071	159813	TRIM_GALORE (2)	COMPLETED	0	2025-09-25 13:55:50.467	13s	7s	126.4%	223.2 MB	3.4 GB	40.3 MB	20.1 MB
9	b7/1b5c43	159807	TRIM_GALORE (5)	COMPLETED	0	2025-09-25 13:55:49.592	13.8s	8.3s	112.6%	204.5 MB	3.4 GB	64.1 MB	41.6 MB
7	10/eec1db	159811	TRIM_GALORE (4)	COMPLETED	0	2025-09-25 13:55:50.264	13.2s	7.3s	124.0%	223.4 MB	3.4 GB	50.6 MB	29.9 MB
11	53/d79d9d	159815	TRIM_GALORE (6)	COMPLETED	0	2025-09-25 13:55:50.732	12.7s	7.5s	120.0%	197.5 MB	3.4 GB	63.5 MB	41.4 MB
5	93/21ea12	159817	TRIM_GALORE (3)	COMPLETED	0	2025-09-25 13:55:50.970	12.5s	7.4s	135.2%	192.6 MB	3.3 GB	60.9 MB	39.2 MB
13	51/5267ba	159818	HISAT2_ALIGN (1)	COMPLETED	0	2025-09-25 13:55:58.758	9.7s	4.3s	54.0%	22.7 MB	214.6 MB	174 MB	120 MB
14	a5/cbad3c	159819	HISAT2_ALIGN (2)	COMPLETED	0	2025-09-25 13:56:03.768	4.7s	3.5s	100.0%	94.3 MB	511.3 MB	182.2 MB	126.7 MB
16	45/f60970	159820	HISAT2_ALIGN (4)	COMPLETED	0	2025-09-25 13:56:04.005	4.4s	2.2s	88.7%	92.2 MB	511.3 MB	175.4 MB	120.9 MB
15	d9/99e49b	159821	HISAT2_ALIGN (3)	COMPLETED	0	2025-09-25 13:56:04.251	14.2s	2.6s	74.3%	92 MB	511.3 MB	169.5 MB	116.5 MB
18	bc/4d5bb2	159822	HISAT2_ALIGN (6)	COMPLETED	0	2025-09-25 13:56:04.519	13.9s	3.2s	93.2%	93.4 MB	511.3 MB	180.2 MB	124.7 MB
17	28/ccee32	159823	HISAT2_ALIGN (5)	COMPLETED	0	2025-09-25 13:56:04.714	13.7s	2.9s	108.0%	93.1 MB	511.3 MB	183.9 MB	128.2 MB
19	5e/90553f	159824	MULTIQC	COMPLETED	0	2025-09-25 13:56:18.923	9.5s	7.1s	37.7%	110.8 MB	221.6 MB	51.8 MB	18.6 MB
