Sample	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX	chrY	chrM	GL000220.1	KI270733.1
SRR17866817	5458727	3637067	2355697	1503228	2193554	3267083	2584183	1654044	2051934	1354719	2702445	3701222	1037568	2074134	1845860	1762083	2957082	345595	2989153	1444813	2194192	1899125	2397190	104769	8976821	894091	920315
SRR17866818	5031398	2564024	1613757	1038991	1338298	2128597	1898405	1110101	1219858	1016975	1952135	2859649	499983	1271553	1342972	1377600	2157872	424509	2713920	717846	1485621	779313	924674	46010	8912129	567456	582648
SRR17866819	5067232	4736183	2077535	1627774	2441182	5054827	2638553	1445755	1906827	1587045	3319581	4605358	933338	2186695	1739495	1795383	3027204	473742	3523882	1002152	4701718	1522162	1622636	109919	3767704	2144601	2196395
SRR17866820	5809841	4164264	2048642	1422400	2065241	3297854	2139134	1361835	1788623	1398773	2855695	3526106	796787	3502388	1483995	1615390	2495332	445107	2969041	930544	8749027	2641080	1309962	94337	12377946	4225953	4359793
SRR17866821	5643311	3363565	2977951	1113574	2203242	3333182	2591834	1494791	2845381	998522	3361861	3688733	1385529	1437754	1331521	2003869	2341777	324841	3565778	1104396	3907152	997212	1706552	153286	7377344	1736407	1813625
SRR17866822	5601484	2647645	1678120	1083936	1489484	2268369	1923612	1096850	1337965	1028967	2342402	3032514	542356	1445456	1363990	1855518	2205336	417884	2947373	850746	2217665	894327	975257	72169	10995459	916839	943351
SRR27320655	4571939	2479613	1668382	1256582	1456150	1962574	2354707	1040878	1165382	1065581	2100651	2230136	510418	1308939	1181973	1271564	1792031	433199	2256761	736569	829916	774073	837394	40998	7868791	229486	235522
SRR27320656	5359082	3702648	2621506	1655680	2451864	3329250	3324131	2176888	2017973	1707313	2903027	3697023	1624964	1304141	1712247	1843184	2492816	367282	3346171	1908011	1369890	1496795	2658539	106978	8653759	404693	417506
SRR27320657	8904278	5183939	2510915	2327945	2436564	3647434	2635291	1617027	1921203	1792394	3129881	3855033	862482	3770197	2164575	2238573	3156966	657744	4045056	1161542	1785039	2389046	1439378	122483	25740359	637723	665557
SRR27320658	5257851	5403434	2060713	1608608	1919041	2759913	2212949	1276722	1704118	1531126	2518062	3124357	761430	6890076	1520712	1462855	2349725	532933	2514878	867869	1183762	2708132	1160246	86538	6422512	380103	393507
SRR27320659	5417103	2583013	1894103	1149754	1906663	2623829	2185475	1333452	1591092	1530483	2909281	2863526	686557	1412372	1302652	3124401	2329559	395965	3348376	946029	1549761	1010331	1182353	73387	11104123	557582	571903
SRR27320660	3846615	2779008	1433814	908553	1446649	2660587	1988601	953144	1404959	1004673	1667823	2813597	941197	864106	965422	1276752	1732926	373453	3073119	1451415	843542	696464	1494471	84156	6187990	261438	267511
