Sample	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX	chrY	chrM	GL000220.1	KI270733.1
SRR17866817	0.08484723694809292	0.056532426982534474	0.03661556651155327	0.02336529053440625	0.034095311232167684	0.05078161363081287	0.0401670183026617	0.025709485598120477	0.03189405337542033	0.021056954119721225	0.04200521316676745	0.05752961451112949	0.016127345797977966	0.03223911709819813	0.028690960510208113	0.027388780172228143	0.04596314069726156	0.005371725102405043	0.046461633429387986	0.022457322184583507	0.03410522792834481	0.02951888029371078	0.03726050926151809	0.0016284676203471519	0.1395304177013462	0.013897223827122577	0.014304834235506582
SRR17866818	0.10571991087619283	0.053875362029483544	0.033908318565900035	0.021831315256945774	0.028120364416765898	0.04472615466542925	0.03988935230465148	0.023325481065813624	0.02563169899133617	0.02136871429438025	0.04101832894521496	0.06008704487643274	0.01050566029553049	0.026717916140674147	0.02821857466835707	0.028946179416345762	0.0453412819900616	0.008919797965921548	0.057024982027881164	0.015083405276790172	0.031215920449107874	0.0163749520321506	0.019429282451822082	0.000966763730361548	0.18726196647475185	0.011923405333102426	0.012242620168826239
SRR17866819	0.07529709712146745	0.0703778377102219	0.03087136224831385	0.024188088678355278	0.03627501526379257	0.07511276364516485	0.039207871575870086	0.021483357116636296	0.028334707748300537	0.023582871575870083	0.04932768283741065	0.06843382908166176	0.013869039750529716	0.03249343740133218	0.025848219295526043	0.026678693243418025	0.04498307430851691	0.007039621904921313	0.052363516254750324	0.014891589032132899	0.06986570121197366	0.022618735425693384	0.02411173999627202	0.0016333535978803775	0.05598661636430726	0.031867936929628686	0.0326375756294769
SRR17866820	0.07271161341874108	0.052116805630581006	0.025639267087928318	0.017801691806508525	0.025847007725088213	0.04127346775229286	0.02677179710406623	0.01704370568146551	0.02238506426042794	0.017505993991328284	0.03573973726334882	0.04413009862843121	0.009971988617430054	0.043833261925487754	0.018572568639201082	0.020217009932027425	0.031229704175280183	0.00557062544637204	0.037158290806304756	0.011645990931099318	0.10949626143196138	0.03305377685344034	0.01639450211068442	0.0011806511529461436	0.1549130904735693	0.05288885889678721	0.05456389997621852
SRR17866821	0.0870528561581812	0.05188584150752861	0.045937418662397284	0.01717782295597221	0.033986875596199374	0.051417157976060286	0.03998123661585963	0.02305841834865097	0.04389241402932105	0.015403048323365382	0.05185955586300298	0.05690183356099571	0.021372959374379448	0.02217857427188572	0.020539840190377173	0.030911378057462795	0.03612389541096302	0.005010947801260597	0.05500514845380789	0.017036244525540183	0.06027113179552749	0.015382840462843923	0.02632501128902101	0.002364566494574367	0.1138017851685688	0.026785549972889844	0.027976703082619653
SRR17866822	0.10336127432535148	0.04885561775435674	0.03096547658992846	0.0200013079118184	0.027484674476838965	0.041857034757239904	0.0354954129347755	0.020239603245097507	0.02468877308276144	0.018986993510779274	0.043223127246681765	0.0559574054749543	0.010007813518346268	0.026672248665036844	0.025168998887979716	0.034238909727070097	0.04069391955338502	0.0077109963645661	0.054386342832030615	0.015698373982179627	0.040921420185567	0.016502551535194712	0.017995910782699603	0.0013316970657751216	0.20289349287298775	0.016917953776388706	0.017407165939614333
SRR27320655	0.10467265228837801	0.056769713978848335	0.03819691578785034	0.02876892512298056	0.033337951934555916	0.044932319939572946	0.053910042774413594	0.023830471265828858	0.026680938846545096	0.024396036232789225	0.04809353574101351	0.05105804125641094	0.011685808982956538	0.029967616981262706	0.027060782928917254	0.02911193181589236	0.041027808497224996	0.009917911918482085	0.05166760961836373	0.016863442583857375	0.019000583537217255	0.01772208115086873	0.019171789254050418	0.0009386322517686526	0.1801527151331018	0.005253987046426192	0.005392178769721855
SRR27320656	0.08285327918335715	0.05724423109437381	0.0405293982250777	0.02559739098567642	0.03790667366381458	0.05147136761878093	0.051392226091157435	0.03365544867850501	0.031198567283254253	0.026395655196612973	0.044881811195989114	0.05715726663004832	0.025122510899236988	0.02016247528353971	0.026471936559631988	0.028496268304589657	0.03853980588480259	0.0056783079798035895	0.051732972187821226	0.029498516363048084	0.021178977783972913	0.023140973400902067	0.04110194133749831	0.001653917238153322	0.1337901361487825	0.0062566951042268715	0.006454788558698432
SRR27320657	0.09802744315012407	0.05707012804589109	0.027642732787239322	0.02562841098897806	0.026824200568719765	0.04015470193976756	0.02901199161644926	0.01780189503457952	0.021150577044241857	0.019732515195238005	0.034456946626571346	0.042440165081251084	0.009495088228714928	0.04150620320729747	0.02382986613363597	0.024644512165377438	0.0347551261418247	0.007241121915480986	0.04453213355188015	0.012787448052664283	0.019651543796504817	0.026301073590473175	0.015846152272709732	0.0013484187397739206	0.28337632523785583	0.0070207101719001325	0.007327135448900755
SRR27320658	0.08669620994914855	0.08909671432499086	0.03397890257691588	0.026524185811632916	0.03164288631173154	0.045507945525535894	0.036489107643171766	0.02105174881500005	0.02809904120640222	0.025246592410967907	0.0415200871643135	0.05151722831782261	0.012555147557734172	0.11360981424950795	0.02507487694576921	0.02412087832180138	0.03874439422546646	0.008787482044818232	0.041467586488185916	0.01431021020419894	0.019518940130069107	0.04465413349332409	0.019131187020830335	0.0014269169317615536	0.10590019548916961	0.00626748256850588	0.00648849986210328
