task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	5a/93a788	3394988	NFCORE_RNASPLICE:RNASPLICE:CONTRASTS_CHECK:CONTRASTSHEET_CHECK (contrastsheet.csv)	COMPLETED	0	2026-03-16 14:15:21.335	1.8s	1s	66.3%	4.9 MB	13.4 MB	2 MB	488 B
1	42/9b430f	3394984	NFCORE_RNASPLICE:RNASPLICE:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2026-03-16 14:15:21.320	1.9s	1s	62.8%	4.9 MB	13.4 MB	2 MB	1.4 KB
6	9d/ce1b37	3395339	NFCORE_RNASPLICE:RNASPLICE:VISUALISE_MISO:GTF_2_GFF3	COMPLETED	0	2026-03-16 14:15:23.166	1.8s	1s	95.9%	61.8 MB	70.7 MB	30.5 MB	11.8 MB
10	e6/a32d6f	3395427	NFCORE_RNASPLICE:RNASPLICE:TX2GENE_TXIMPORT_SALMON:GFFREAD_TX2GENE (genes_chrX.gtf)	COMPLETED	0	2026-03-16 14:15:23.466	2s	1s	92.5%	4.9 MB	24.6 MB	24.8 MB	463.6 KB
7	46/7997ba	3395879	NFCORE_RNASPLICE:RNASPLICE:TX2GENE_TXIMPORT_STAR_SALMON:GFFREAD_TX2GENE (genes_chrX.gtf)	COMPLETED	0	2026-03-16 14:15:25.000	2s	0ms	96.1%	5 MB	24.4 MB	24.8 MB	463.7 KB
3	26/e21e04	3396143	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:GUNZIP_FASTA (X.fa.gz)	COMPLETED	0	2026-03-16 14:15:26.607	1.8s	1.5s	93.7%	4.3 MB	7.2 MB	43.8 MB	150.5 MB
5	68/0d1ae5	3396314	NFCORE_RNASPLICE:RNASPLICE:EDGER_DEU:SUBREAD_FLATTENGTF (genes_chrX.gtf)	COMPLETED	0	2026-03-16 14:15:27.770	1.6s	0ms	84.7%	6.1 MB	22.2 MB	24.6 MB	678.8 KB
23	3c/16a901	3396636	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:GTF_GENE_FILTER (X.fa)	COMPLETED	0	2026-03-16 14:15:28.599	1.4s	1s	79.0%	4.9 MB	13.4 MB	176.9 MB	24.5 MB
20	34/a086f5	3396871	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ERR188454)	COMPLETED	0	2026-03-16 14:15:30.566	5.3s	5s	227.9%	343.5 MB	4.1 GB	19.9 MB	4.7 MB
21	ac/8c371d	3396868	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ERR204916)	COMPLETED	0	2026-03-16 14:15:30.555	6.3s	6s	210.2%	463.6 MB	4.1 GB	20 MB	4.6 MB
19	48/9ec4ca	3397800	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ERR188428)	COMPLETED	0	2026-03-16 14:15:35.881	6.3s	6s	207.7%	462.2 MB	4 GB	19.6 MB	4.6 MB
15	27/f024f8	3398102	NFCORE_RNASPLICE:RNASPLICE:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (ERR188383)	COMPLETED	0	2026-03-16 14:15:36.843	6.4s	6s	174.3%	461.8 MB	4.1 GB	19.7 MB	4.6 MB
24	9c/695e16	3398910	NFCORE_RNASPLICE:RNASPLICE:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (X.fa)	COMPLETED	0	2026-03-16 14:15:42.204	1.3s	1s	81.9%	4.6 MB	11.7 MB	150.7 MB	4.9 KB
